member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/ovn_sc_alb_albion		
ovn_albion_climate_chaotic	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_desert	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_frozen	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_island	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_jungle	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_magicforest	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_mountain	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_ocean	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_savannah	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_temperate	ACTOR	ovn_sc_alb_albion
ovn_albion_climate_wasteland	ACTOR	ovn_sc_alb_albion
wh_event_feed_cult_albion_battle_attack_outcome_defeat	ACTOR	ovn_sc_alb_albion
wh_event_feed_cult_albion_battle_attack_outcome_draw	ACTOR	ovn_sc_alb_albion
wh_event_feed_cult_albion_battle_attack_outcome_victory	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_treasure_hunt	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_colonise	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_do_nothing	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_loot	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_raze_without_occupy	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_resettle	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_sack	ACTOR	ovn_sc_alb_albion
ovn_albion_alt_occupation_decision_occupy	ACTOR	ovn_sc_alb_albion
wh_feature_nor_albion	ACTOR	ovn_sc_alb_albion
wh_occupation_decision_bretonnia_raze_albion	ACTOR	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_albion	ACTOR	wh_main_sc_brt_bretonnia
