template_key	unit_group_key	ratio
#cdir_military_generator_template_ratios_tables;0;db/cdir_military_generator_template_ratios_tables/ovn_albion_only		
ovn_albion	wh3_default_land_monsters	3
ovn_albion	wh3_default_land_characters	1
ovn_albion	wh3_default_land_melee_infantry_main_frontline_spears	2
ovn_albion	wh3_default_land_ranged_infantry	3
ovn_albion	wh3_default_land_melee_infantry	4
ovn_albion	wh3_default_land_ranged_infantry_main_light_skirmisher	1
ovn_albion	wh3_default_land_melee_cavalry_main_chariots	1
ovn_albion	wh3_default_land_melee_cavalry_main_mounted	3
ovn_albion	wh3_default_land_artillery	1
