chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_albion_res			
ovn_albion_resource_obsidian	wh3_main_secondary_addon_res_carved_obsidian		false
ovn_albion_resource_dyes	wh3_main_secondary_addon_res_dyes		false
ovn_albion_resource_exotic_animals	wh3_main_secondary_addon_res_exotic_animals		false
ovn_albion_resource_furs	wh3_main_secondary_addon_res_furs		false
ovn_albion_resource_gemstones	wh3_main_secondary_addon_res_gemstones		false
ovn_albion_resource_ivory	wh3_main_secondary_addon_res_ivory		false
ovn_albion_resource_pastures	wh3_main_secondary_addon_res_pastures		false
ovn_albion_resource_salt	wh3_main_secondary_addon_res_salt		false
ovn_albion_resource_spices	wh3_main_secondary_addon_res_spices		false
ovn_albion_resource_wine	wh3_main_secondary_addon_res_wine		false
