key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group	mom_vortex_key	align_orientation_to_target_unit
#unit_special_abilities_tables;72;db/unit_special_abilities_tables/ovn_albion_only																																																																						
cr_unit_formation_shieldwall	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	false	7878061				0.0000	0.0000						0.0000		augment_defense_melee	wh_group_wedge_formation		vo_battle_special_ability_generic_response	74.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
war_fury	-1.0000	-1.0000	-1	0.0000	true	1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878003				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	40.0000	40.0000				false	false	false	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
war_fury_2	-1.0000	-1.0000	-1	0.0000	true	1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878004				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_generic_response	40.0000	40.0000				false	false	false	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
woad_paint	-1.0000	-1.0000	-1	0.0000	true	1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878005				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	40.0000	40.0000				false	false	false	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
druid_bound_awakening_of_the_wood	12.0000	31.0000	2	0.0000	false	0	0	false	0.0000		false	true	true	200.0000	false	false	1.0000	false	7878006			cast_up_short	0.0000	0.0000	wh_abilities_generic_explosion	wh_abilities_generic_explosion			wh_dlc05_spell_life_awakening_of_the_wood	0.0000		aoe	wh_dlc05_spell_life_awakening_of_the_wood	life_medium	vo_battle_special_ability_spell_cast_wef_life	41.0000	41.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
devestating_charge	-1.0000	-1.0000	-1	0.0000	true	1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878007				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	40.0000	40.0000				false	false	false	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
spell_truth_gift_life	25.0000	48.0000	-1	0.0000	true	1	0	false	0.0000		true	false	false	200.0000	false	false	5.0000	false	7878008			cast_up_long	10.0000	0.0000	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring				0.0000		healing	wh_dlc05_spell_life_regrowth	life_long	vo_battle_special_ability_spell_cast_wef_life	121.0000	121.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
spell_truth_gift_life_upgraded	25.0000	48.0000	-1	30.0000	true	4	0	false	0.0000		true	false	false	200.0000	false	false	5.0000	false	7878009			cast_up_long	18.0000	0.0000	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring				0.5000	wh_dlc05_spell_life_miscast	healing	wh_dlc05_spell_life_regrowth_upgraded	life_long	vo_battle_special_ability_spell_cast_wef_life	121.0000	121.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
wh2_main_lore_passive_truthsayer	-1.0000	-1.0000	-1	-1.0000	true	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878010				0.0000	0.0000	wh_abilities_generic_buff_no_ring					0.0000					vo_battle_special_ability_generic_response	40.0000	40.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					false
