agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_albion_buildings		
general	wh3_main_ksl_the_ice_court	albion_morrigan
general	wh3_main_ksl_the_ice_court	albion_warleader
general	wh3_main_ksl_the_ice_court	albion_truthsayer_beast
general	wh3_main_ksl_the_ice_court	albion_truthsayer_life
general	wh3_main_ksl_the_ice_court	albion_truthsayer_light
general	wh3_main_ksl_the_ice_court	albion_truthsayer_truth
wizard	wh3_main_ksl_the_ice_court	albion_wyrd_druid
champion	wh3_main_ksl_the_ice_court	albion_chief
general	wh3_main_ksl_the_ice_court	bl_elo_dural_durak
