key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/ovn_albion_only																			
albion_noble_lance	10	0	26	9	1.0000	lance	spear		1	1.0000	1.0000	0.0000	false		0	10	5.1000		false
albion_riders_spear	5	0	20	5	1.0000	lance	spear		1	1.0000	1.0000	0.0000	false		0	10	5.1000		false
feral_gryphon	20	0	150	225	4.0000	axe	claw	large	5	1.0000	1.0000	0.0000	false		0	3	3.6000		false
dural_durak_sword	0	0	300	125	3.0000	sword	staff	medium	8	1.0000	1.0000	0.0000	false		0	10	4.0000		false
dural_durak_sword_chariot	0	20	300	125	3.0000	sword	staff	very_large	4	1.0000	1.0000	0.0000	false		3	2	4.0000		false
woad_raiders_dual_axes	0	0	32	6	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
sickle_swords	0	0	38	9	1.0000	sword	sword		1	1.0000	1.0000	0.0000	true		0	10	4.0000		false
wooden_arms	0	0	30	60	2.0000	sword	claw	medium	6	1.3000	1.0000	0.0000	false		0	10	3.8000		false
albion_hunting_knife	0	0	18	3	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	3.8000		false
albion_riders_sword	0	0	24	6	1.0000	sword	sword		4	1.0000	1.0000	0.0000	false		0	10	4.5000		false
hearthguard_sword	0	0	28	8	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	3.8000		false
highlander_2h_sword	0	10	6	26	1.0000	sword	sword		4	1.0000	1.0000	0.0000	false		0	10	3.8000		false
hearthguard_halberd	22	0	12	24	2.0000	spear	halberd		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
albion_swordmaiden_sword	0	10	20	8	1.0000	sword	sword		4	1.0000	1.0000	0.0000	false		0	10	3.8000		false
albion_chariot_scythe	0	18	12	33	3.0000	axe	claw	very_large	4	1.0000	1.0000	0.0000	false		3	2	4.0000		false
truthsayer_sword	0	0	200	75	3.0000	sword	staff	medium	5	1.0000	1.0000	0.0000	false		0	10	4.0000		false
centaur_great_axe	0	0	4	26	2.0000	axe	axe		5	1.0000	1.0000	0.0000	false		0	10	4.3000		false
fenhulk_claw	0	0	150	320	10.0000	axe	claw	large	8	1.0000	1.0000	0.0000	false		0	10	3.2000		false
warleader_sword	0	0	270	150	3.0000	sword	axe	large	8	1.0000	1.0000	0.0000	false		0	10	3.8000		false
warleader_chariot	0	26	90	250	3.0000	axe	claw	very_large	4	1.0000	1.0000	0.0000	false		3	2	4.0000		false
chief_halberd	35	0	110	220	3.0000	spear	halberd	large	4	1.0000	1.0000	0.0000	false		0	2	4.0000		false
chief_halberd_chariot	0	20	90	200	3.0000	axe	claw	very_large	4	1.0000	1.0000	0.0000	false		3	2	4.6000		false
morrigan_scythe	0	0	215	105	3.0000	sword	staff	medium	5	1.0000	1.0000	0.0000	true		0	10	4.0000		false
morrigan_midnight	0	0	240	160	7.0000	axe	claw	large	5	1.0000	1.0000	0.0000	true		0	3	4.0000		false
half_giant_club	25	0	90	40	2.0000	axe	club_medium	medium	4	1.0000	1.0000	0.0000	false		0	10	3.8000		false
wyrd_druid_staff	0	0	200	115	3.0000	axe	sword	medium	5	1.0000	1.0000	0.0000	false		0	10	4.0000		false
barghest_claws	0	0	35	15	1.0000	axe	claw	medium	1	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
ovn_barrow_wight	0	8	26	12	1.0000	sword	sword		1	1.0000	1.0000	0.0000	true		0	10	4.4000		false
albion_shieldmaidens_spear	20	0	30	10	1.0000	spear	spear		4	1.0000	1.0000	0.0000	false		0	10	4.8000		false
wooden_arms_rotten	0	0	30	60	2.0000	sword	claw	medium	6	1.3000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	3.8000		false
woad_raiders_dual_axes_ror	0	10	32	6	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
albion_warriors_lugh_sword	0	0	21	7	1.0000	axe	axe		1	1.0000	1.0000	10.0000	false	wh_main_unit_contact_morale	0	10	4.2000		false
albion_warden_spear	16	0	22	8	1.0000	spear	spear		4	1.0000	1.0000	0.0000	false		0	10	4.2000		false
centaur_hunter_spear	20	0	20	8	2.0000	spear	spear		4	1.0000	1.0000	0.0000	false		0	10	4.2000		false
giant_melee_boulder	0	0	150	260	5.0000	axe	club_huge	large	6	1.2000	1.0000	0.0000	false		0	10	4.0000		false
