key	text	tooltip
#Loc PackedFile;1;text/db/ovn_albion_buildings_chains.loc		
building_chains_chain_tooltip_albion_hall_heroes	Heroes	true
building_chains_chain_tooltip_albion_gryphon_eyrie	Hill Encampment	true
building_chains_chain_tooltip_elo_great_ogham	The Great Ogham Circle	true
building_chains_chain_tooltip_elo_forge_old_ones	Forge of the Old Ones	true
building_chains_chain_tooltip_elo_citadel_lead	Sealed Citadel of Lead	true
building_chains_chain_tooltip_elo_ogham_stone	Ogham Stones	true
building_chains_chain_tooltip_elo_temple_danu	Worship	true
building_chains_chain_tooltip_albion_hunters	Hunters	true
building_chains_chain_tooltip_albion_order	Order	true
building_chains_chain_tooltip_albion_smith	Smith	true
building_chains_chain_tooltip_albion_oracle_hall	Oracle's Halls	true
building_chains_chain_tooltip_ovn_Waystone	Waystone	true
building_chains_chain_tooltip_ovn_Waystone_marker	Waystone	true
building_chains_chain_tooltip_ovn_Waystone_beacon	Waystone	true
building_chains_chain_tooltip_ovn_albion_military	Barracks	true
building_chains_chain_tooltip_ovn_albion_stables	Stables	true
building_chains_chain_tooltip_ovn_albion_foreign_slot_discovery	Protection	true
building_chains_chain_tooltip_ovn_albion_walls	Garrison	true
building_chains_chain_tooltip_alb_resource_wood	Timber	false
building_chains_chain_tooltip_alb_resource_medicine	Medicine	false
building_chains_chain_tooltip_alb_resource_pottery	Pottery	false
building_chains_chain_tooltip_alb_resource_gold	Gold	false
building_chains_chain_tooltip_alb_resource_iron	Iron	false
building_chains_chain_tooltip_alb_resource_marble	Marble	false
building_chains_chain_tooltip_ovn_albion_settlement_major	Major Settlement	false
building_chains_chain_tooltip_ovn_albion_settlement_minor	Minor Settlement	false
building_sets_onscreen_name_ovn_Waystone	Waystone	true
building_sets_onscreen_description_ovn_Waystone	Waystone	true
