phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_albion_only			
war_fury	stat_melee_attack	6.0	add
war_fury	stat_melee_damage_base	1.1	mult
war_fury_2	stat_morale	-5.0	add
war_fury	stat_charge_bonus	1.01	mult
woad_paint	stat_resistance_physical	15.0	add
druid_bound_awakening_of_the_wood	scalar_speed	0.52	mult
devestating_charge	stat_charge_bonus	1.5	mult
devestating_charge	scalar_charge_speed	1.25	mult
wh2_main_lore_passive_truthsayer	stat_resistance_missile	20.0	add
spell_truth_valor_upgraded	stat_melee_damage_base	1.25	mult
spell_truth_valor_upgraded	stat_melee_attack	26.0	add
spell_truth_valor	stat_melee_attack	26.0	add
spell_truth_valor	stat_melee_damage_base	1.25	mult
spell_truth_protection	stat_resistance_magic	45.0	add
spell_truth_protection	stat_resistance_flame	45.0	add
spell_truth_protection_upgraded	stat_resistance_magic	45.0	add
spell_truth_protection_upgraded	stat_resistance_flame	45.0	add
spell_truth_voice_command	scalar_speed	0.45	mult
spell_truth_voice_command	scalar_missile_range	0.0	mult
spell_truth_voice_command_upgraded	scalar_speed	0.45	mult
spell_truth_voice_command_upgraded	scalar_missile_range	0.0	mult
magic_siphon	stat_morale	15.0	add
embodiment_albion	scalar_speed	0.7	mult
albion_warcry	stat_melee_defence	14.0	add
albion_warcry	stat_morale	16.0	add
albion_warcry	stat_melee_attack	14.0	add
omen_of_doom	stat_morale	-6.0	add
omen_of_war	stat_melee_attack	6.0	add
murder_crows	stat_melee_attack	-5.0	add
omen_of_war	stat_morale	6.0	add
omen_of_doom	stat_melee_defence	-6.0	add
spell_truth_boon_courage	stat_armour	30.0	add
spell_truth_boon_courage	stat_melee_defence	24.0	add
spell_truth_boon_courage_upgraded	stat_armour	60.0	add
spell_truth_boon_courage_upgraded	stat_melee_defence	24.0	add
howling_shields	stat_morale	-8.0	add
darkened_skies	scalar_speed	0.8	mult
darkened_skies	scalar_missile_range	0.8	mult
murder_crows_upgraded	stat_melee_attack	-10.0	add
morrigan_hunters_dmg	scalar_missile_damage_ap	2.0	mult
lesser_shield_of_the_old_ones	stat_morale	6.0	add
lesser_shield_of_the_old_ones	stat_resistance_all	15.0	add
elo_champion_of_albion	stat_morale	4.0	add
elo_albion_bologs	stat_melee_attack	20.0	add
elo_albion_bologs	stat_melee_defence	20.0	add
elo_albion_bologs	scalar_speed	1.25	mult
elo_albion_bologs	stat_melee_damage_base	1.25	mult
elo_albion_bologs	stat_melee_damage_ap	1.25	mult
elo_albion_bologs	scalar_splash_attack_power	1.25	mult
elo_albion_bologs	stat_charge_bonus	20.0	add
elo_albion_something_prove	stat_melee_damage_ap	8.0	add
elo_albion_something_prove	stat_morale	4.0	add
elo_albion_holy_warriors_unbreakable	stat_melee_attack	8.0	add
elo_albion_protectors_world	stat_melee_damage_base	1.25	mult
elo_albion_protectors_world	scalar_missile_damage_ap	1.2	mult
elo_albion_protectors_world	stat_morale	8.0	add
elo_albion_protectors_world	stat_resistance_physical	15.0	add
