key	text	tooltip
#Loc;1;text/db/rhox_albion_incident.loc		
incidents_localised_title_rhox_albion_extra_reinforcement_1	Additional Warriors!	false
incidents_localised_description_rhox_albion_extra_reinforcement_1	Due to politicking at home, a surge of warriors have volunteered to join your worthy cause.	false
incidents_localised_title_rhox_albion_extra_reinforcement_2	Additional Warriors!	false
incidents_localised_description_rhox_albion_extra_reinforcement_2	Due to politicking at home, a surge of warriors have volunteered to join your worthy cause.	false
incidents_localised_title_rhox_albion_extra_reinforcement_3	Additional Warriors!	false
incidents_localised_description_rhox_albion_extra_reinforcement_3	Due to politicking at home, a surge of warriors have volunteered to join your worthy cause.	false
incidents_localised_title_rhox_albion_wanted_level_0	Attention of the Dark Gods Fades	false
incidents_localised_description_rhox_albion_wanted_level_0	The Chaos Gods grow bored of you – hostility against the Ravenqueen Host has now returned to normal levels. Clan Reinforcements will now be dispatched at regular frequency.	false
incidents_localised_title_rhox_albion_wanted_level_1	Attention of the Dark Gods Increased!	false
incidents_localised_description_rhox_albion_wanted_level_1	Your military activity has heightened the enemy’s aggression towards the Ravenqueen Host, increasing the hostility level. Clan Reinforcements will now be dispatched more often.	false
incidents_localised_title_rhox_albion_wanted_level_2	Attention of the Dark Gods Increased!	false
incidents_localised_description_rhox_albion_wanted_level_2	Your military activity has heightened the enemy’s aggression towards the Ravenqueen Host, increasing the hostility level. Clan Reinforcements will now be dispatched more often.	false
incidents_localised_title_rhox_albion_wanted_level_3	Attention of the Dark Gods Increased!	false
incidents_localised_description_rhox_albion_wanted_level_3	Your military activity has heightened the enemy’s aggression towards the Ravenqueen Host, increasing the hostility level. Clan Reinforcements will now be dispatched more often.	false
incidents_localised_title_rhox_albion_wanted_level_4	Attention of the Dark Gods Increased!	false
incidents_localised_description_rhox_albion_wanted_level_4	Your military activity has heightened the enemy’s aggression towards the Ravenqueen Host, increasing the hostility level. Clan Reinforcements will now be dispatched more often.	false
incidents_localised_title_rhox_albion_wanted_level_5	Marked for a Fate Worse Than Death!	false
incidents_localised_description_rhox_albion_wanted_level_5	The Ravenqueen Hosts relentless aggressions have caused hostility to rise to deadly levels – the forces of Chaos are now concentrating their efforts against you! With urgency Clan Reinforcements have already been dispatched.	false
incidents_localised_title_rhox_albion_wanted_level_decreased	Attention of the Dark Gods Decreased	false
incidents_localised_description_rhox_albion_wanted_level_decreased	Your lack of military activity has caused the Chaos Gods to grow disinterested in you, reducing the hostility level. Clan Reinforcements will now be dispatched less frequently.	false
incidents_localised_title_rhox_albion_wanted_level_reset	Attention of the Dark Gods Fades	false
incidents_localised_description_rhox_albion_wanted_level_reset	The Chaos Gods grow bored of you – hostility against the Ravenqueen Host has now returned to normal levels. Clan Reinforcements will now be dispatched at regular frequency.	false
incidents_localised_title_rhox_albion_progress_level_increase	Chaos Weakened!	false
incidents_localised_description_rhox_albion_progress_level_increase	The Ravenqueen Host has increased its level of Belief among the folk of Albion, making great strides towards fulfilling Mhorrinion's mission. You will now receive better-quality Clan Reinforcements.\\n\\nContinue your success, garnering Belief to advance the Ravenqueen Host progress and further the Mhorrinion's cause.	false
incidents_localised_title_rhox_albion_incident_hostility_invasion	Chaos Swells!	false
incidents_localised_description_rhox_albion_incident_hostility_invasion	Following your recent military aggression, the forces of Chaos have started to gather in numbers and are priming their forces seeking boons from the Chaos Gods. An attack is imminent…\\n\\n[[col:red]]A Chaos horde has appeared![[/col]]	false
