ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_araby_only			
sword	wh_main_effect_character_stat_ap_damage	character_to_character_own	12.0
sword	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
sword	wh_main_effect_character_stat_weapon_strength	character_to_character_own	6.0
Helm	wh_main_effect_character_stat_armour	character_to_character_own	15.0
sword	wh_main_effect_public_order_characters	character_to_province_own	2.0
Helm	wh_main_effect_character_stat_physical_resistance	character_to_character_own	5.0
Helm	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0
sword	wh_main_effect_force_stat_leadership	general_to_force_own	4.0
Talisman	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0
Talisman	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0
Helm	wh_main_effect_character_stat_speed	character_to_character_own	10.0
Helm	wh2_dlc10_effect_attribute_enable_perfect_vigour	character_to_character_own	1.0
rattlesnake_staff	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
rattlesnake_staff	wh_main_effect_character_stat_miscast	character_to_character_own	-10.0
rattlesnake_staff	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	character_to_force_own_unseen	18.0
rattlesnake_staff	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	10.0
rattlesnake_staff	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0
roy_anc_mount_arb_champion_horse	wh_main_effect_character_stat_speed	character_to_character_own	10.0
roy_anc_mount_arb_lord_horse	wh_main_effect_character_stat_speed	character_to_character_own	10.0
roy_anc_mount_arb_nomad_assassin	wh_main_effect_character_stat_ap_damage	character_to_character_own	55.0
roy_anc_mount_arb_nomad_assassin	wh_main_effect_attribute_enable_stalk	character_to_character_own	1.0
roy_anc_mount_arb_nomad_assassin	wh_main_effect_character_stat_speed	character_to_character_own	10.0
roy_anc_mount_arb_nomad_assassin	roy_effect_enable_arb_doppelgang	character_to_character_own	1.0
roy_anc_mount_arb_nomad_assassin	wh2_main_effect_agent_action_hinder_agent_assassinate_buff	character_to_character_own	10.0
arb_fatandira_blades_demise	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0
arb_fatandira_blades_demise	wh_main_effect_character_stat_missile_damage	character_to_character_own	10.0
arb_fatandira_blades_demise	wh_main_effect_character_stat_ap_damage	character_to_character_own	40.0
arb_fatandira_blades_demise	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0
arb_fatandira_blades_demise	arb_fatandira_enable_blades_demise	character_to_character_own	1.0
arb_fatandira_scythan_armour	wh_main_effect_character_stat_armour	character_to_character_own	12.0
arb_fatandira_scythan_armour	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0
arb_fatandira_scythan_armour	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	8.0
arb_fatandira_scythan_armour	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0
arb_golden_magus_fire_scimitar	arb_golden_magus_enable_burning_scimitar	character_to_character_own	1.0
arb_golden_magus_fire_scimitar	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0
arb_golden_magus_fire_scimitar	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
arb_golden_magus_fire_scimitar	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0
arb_golden_magus_fire_scimitar	wh_main_effect_character_stat_ap_damage	character_to_character_own	40.0
arb_golden_magus_auric_robe	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0
arb_golden_magus_auric_robe	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0
arb_golden_magus_auric_robe	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	character_to_force_own_unseen	13.0
arb_golden_magus_auric_robe	wh2_main_effect_force_stat_melee_attack_vs_undead	character_to_character_own	10.0
Serpent_Staff	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	character_to_force_own_unseen	50.0
Serpent_Staff	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	50.0
Serpent_Staff	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0
Black_Book_Of_Ibn_Naggazar	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	character_to_force_own_unseen	10.0
Black_Book_Of_Ibn_Naggazar	Black_Book_Of_Ibn_Naggazar	character_to_character_own	1.0
Black_Book_Of_Ibn_Naggazar	summon_djinn_fighter	character_to_character_own	1.0
Serpent_Staff	arb_jaffar_serpent_djinn_enable	character_to_character_own	1.0
