building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_araby_only			
ovn_arb_hosp		wh_main_set_empire_military_support	false
ovn_arb_haikk		wh2_main_set_landmark	false
ovn_arb_bel		wh2_main_set_landmark	false
ovn_arb_fyrus		wh2_main_set_landmark	false
ovn_arb_Sabar		wh2_main_set_landmark	false
ovn_arb_Madrasat		wh2_main_set_landmark	false
ovn_arb_Sartosa		wh2_main_set_landmark	false
ovn_arb_Magritta		wh2_main_set_landmark	false
ovn_arb_Crypt		wh2_main_set_landmark	false
ovn_arb_Twilight		wh2_main_set_landmark	false
ovn_arb_forge		wh_main_set_empire_military_recruitment	false
ovn_arb_nomad		wh_main_set_empire_military_recruitment	false
ovn_arb_xp		wh_main_set_empire_military_support	false
ovn_arb_barracks		wh_main_set_empire_military_recruitment	false
ovn_arb_industry_basic		wh_main_set_empire_economy	false
ovn_arb_stables		wh_main_set_empire_military_recruitment	false
ovn_arb_tavern		wh_main_set_empire_economy	false
ovn_arb_worship		wh_main_set_empire_military_support	false
ovn_araby_walls		wh_main_set_empire_defence	false
ovn_araby_ch_coffee		wh_main_set_empire_economy	false
ovn_Nehekharan		ovn_Nehekharan	false
ovn_arb_scy_tmb		wh_main_set_empire_military_recruitment	false
arb_fatandira_landmark	arb_fatandira_landmark	wh2_main_set_landmark	false
arb_flaming_scimitar_main		arb_flaming_scimitar_main	false
	arb_flaming_scimitar_main_1	arb_flaming_scimitar_newhorde	false
arb_flaming_scimitar_barracks		arb_flaming_scimitar_military	false
	arb_flaming_scimitar_barracks_1	arb_flaming_scimitar_newhorde	false
arb_flaming_scimitar_support_monsters		arb_flaming_scimitar_support	false
arb_flaming_scimitar_support_mages		arb_flaming_scimitar_support	false
arb_flaming_scimitar_structure_movement		arb_flaming_scimitar_structure	false
arb_flaming_scimitar_structure_upkeep		arb_flaming_scimitar_structure	false
arb_flaming_scimitar_structure_replenishment		arb_flaming_scimitar_structure	false
arb_flaming_scimitar_structure_growth		arb_flaming_scimitar_structure	false
arb_flaming_scimitar_defense_bombardment		arb_flaming_scimitar_defence	false
arb_flaming_scimitar_defense_magical_bombardment		arb_flaming_scimitar_defence	false
arb_flaming_scimitar_unique_minaret		arb_flaming_scimitar_unique	false
arb_golden_magus_special_galleon_graveyard		wh2_main_set_landmark	false
ovn_araby_settlement_minor		wh_main_set_settlement_major	false
ovn_araby_settlement_major		wh_main_set_settlement_minor	false
