id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ovn_araby_only		
ovn_araby_combi_campaign	ovn_araby_combi_campaign	0.0
ovn_araby_flaming_scimitar_boat_wom	wh3_main_winds_of_magic	0.0
ovn_araby_flaming_scimitar_boat	ovn_araby_flaming_scimitar_boat	0.0
diplomacy_Faction_Araby_&_Negative	diplomacy_Faction_Araby_&_Negative	25.0
diplomacy_Faction_Araby_&_Positive	diplomacy_Faction_Araby_&_Positive	25.0
diplomacy_Faction_Araby	diplomacy_Faction_Araby	25.0
diplomacy_Faction_Scythan_&_Negative	diplomacy_Faction_Scythan_&_Negative	25.0
diplomacy_Faction_Scythan_&_Positive	diplomacy_Faction_Scythan_&_Positive	25.0
diplomacy_Faction_Scythan	diplomacy_Faction_Scythan	25.0
diplomacy_Faction_Scimitar_&_Negative	diplomacy_Faction_Scimitar_&_Negative	25.0
diplomacy_Faction_Scimitar_&_Positive	diplomacy_Faction_Scimitar_&_Positive	25.0
diplomacy_Faction_Scimitar	diplomacy_Faction_Scimitar	25.0
