character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/ovn_arb_golden_magus				
arb_golden_magus_innate	wh_main_effect_ability_enable_fireball	1	character_to_character_own	1.0
arb_golden_magus_innate	wh_main_effect_agent_movement_range_mod	1	general_to_force_own	10.0
arb_golden_magus_innate	arb_golden_magus_innate_djinn_upkeep	1	general_to_force_own	-30.0
arb_golden_magus_aether_tether	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_aether_tether	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_aether_tether	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	1	character_to_force_own_unseen	10.0
arb_golden_magus_old_gold	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_old_gold	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_old_gold	wh_main_effect_character_stat_melee_attack	1	character_to_character_own	12.0
arb_golden_magus_old_gold	wh_main_effect_character_stat_weapon_strength	1	character_to_character_own	15.0
arb_golden_magus_old_gold	wh_main_effect_character_stat_speed	1	character_to_character_own	10.0
arb_golden_magus_old_gold	wh_main_effect_character_stat_unit_health	1	character_to_character_own	3.0
arb_golden_magus_sphere_changer	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_sphere_changer	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_sphere_changer	wh2_dlc12_effect_magic_cooldown_all_lores	1	character_to_character_own	-10.0
arb_golden_magus_sphere_changer	wh2_main_effect_agent_action_passive_spread_corruption_buff_chs	1	character_to_character_own	1.0
arb_golden_magus_sultan_seas	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_sultan_seas	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_sultan_seas	wh_main_effect_force_all_campaign_captives	1	character_to_force_own_unseen	12.0
arb_golden_magus_sultan_seas	wh_main_effect_character_mod_ancillary_drop	1	character_to_character_own	15.0
arb_golden_magus_sultan_seas	wh_main_effect_force_all_campaign_raid_income	1	general_to_force_own	16.0
arb_golden_magus_master_sorcerer	wh_main_effect_agent_enable_recruitment_wizard_arb_2	1	faction_to_province_own	1.0
arb_golden_magus_master_sorcerer	wh_main_effect_agent_recruitment_xp_wizard_empire	1	faction_to_province_own_factionwide	2.0
arb_golden_magus_master_sorcerer	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_master_sorcerer	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_master_djinn	wh2_dlc14_number_of_uses_bound_fireball	1	character_to_character_own	2.0
arb_golden_magus_master_djinn	arb_golden_magus_enable_master_djinn	1	character_to_character_own	1.0
arb_golden_magus_master_djinn	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_master_djinn	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_wishmaster	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
arb_golden_magus_wishmaster	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_wishmaster	arb_golden_magus_wishmaster_djinn_exp	1	general_to_force_own	3.0
arb_golden_magus_wishmaster	wh_main_effect_character_stat_miscast	1	character_to_character_own	15.0
arb_golden_magus_ship_growth	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
arb_golden_magus_ship_growth	arb_golden_magus_ship_growth	1	general_to_force_own	2.0
arb_golden_magus_ship_growth	wh_main_effect_agent_action_success_chance_enemy_skill	2	character_to_character_own	-2.0
arb_golden_magus_ship_growth	wh_main_effect_agent_action_success_chance_skill	2	character_to_character_own	2.0
arb_golden_magus_ship_growth	arb_golden_magus_ship_growth	2	general_to_force_own	4.0
arb_golden_magus_ship_growth	wh_main_effect_agent_action_success_chance_enemy_skill	3	character_to_character_own	-3.0
arb_golden_magus_ship_growth	wh_main_effect_agent_action_success_chance_skill	3	character_to_character_own	3.0
arb_golden_magus_ship_growth	arb_golden_magus_ship_growth	3	general_to_force_own	6.0
arb_golden_magus_anc_camel	ovn_effect_enable_mount_camel	1	character_to_character_own	1.0
arb_golden_magus_anc_djinskiff	ovn_effect_enable_mount_golden_magus_skiff	1	character_to_character_own	1.0
ovn_buff_araby_vamp_coast	ovn_effect_upkeep_arb_sea_units	1	general_to_force_own	3.0
ovn_buff_araby_vamp_coast	ovn_effect_force_stat_melee_attack_arb_sea_units	1	general_to_force_own	3.0
ovn_buff_araby_vamp_coast	ovn_effect_force_stat_melee_defence_arb_sea_units	1	general_to_force_own	3.0
ovn_buff_araby_vamp_coast	ovn_effect_upkeep_arb_sea_units	2	general_to_force_own	7.0
ovn_buff_araby_vamp_coast	ovn_effect_force_stat_melee_attack_arb_sea_units	2	general_to_force_own	7.0
ovn_buff_araby_vamp_coast	ovn_effect_force_stat_melee_defence_arb_sea_units	2	general_to_force_own	7.0
ovn_buff_araby_vamp_coast	ovn_effect_upkeep_arb_sea_units	3	general_to_force_own	12.0
ovn_buff_araby_vamp_coast	ovn_effect_force_stat_melee_attack_arb_sea_units	3	general_to_force_own	12.0
ovn_buff_araby_vamp_coast	ovn_effect_force_stat_melee_defence_arb_sea_units	3	general_to_force_own	12.0
