key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/ovn_arb_caravan_master										
ovn_skill_innate_arb_caravan_master_1		wh3_main_skill_cth_caravan_master_wheelwright	ovn_skill_node_set_arb_caravan_master		0.0	0.0		0	0	true
ovn_skill_innate_arb_caravan_master_2		wh3_main_skill_cth_caravan_master_smugglers_space	ovn_skill_node_set_arb_caravan_master		0.0	1.0		0	0	true
ovn_skill_node_arb_caravan_master_mount_warhorse		ovn_skill_arb_lord_mount_horse	ovn_skill_node_set_arb_caravan_master		0.0	2.0		0	0	true
ovn_skill_node_arb_caravan_master_mount_elephant		Mount_Elephant	ovn_skill_node_set_arb_caravan_master		0.0	3.0		0	0	true
ovn_skill_node_arb_caravan_master_generic_0		Order_Buff	ovn_skill_node_set_arb_caravan_master		0.0	4.0		0	0	true
ovn_skill_node_arb_caravan_master_generic_1		Chaos_Buff	ovn_skill_node_set_arb_caravan_master		0.0	5.0		0	0	true
ovn_skill_node_arb_caravan_master_generic_2		wh_main_skill_brt_lord_battle_basic_training	ovn_skill_node_set_arb_caravan_master		0.0	6.0		0	0	true
ovn_skill_node_arb_caravan_master_generic_3		arb_scythan_tomb_king_units	ovn_skill_node_set_arb_caravan_master		0.0	7.0		0	0	true
ovn_skill_node_arb_caravan_master_generic_4		wh2_main_skill_all_immortality_lord	ovn_skill_node_set_arb_caravan_master		0.0	8.0		0	0	true
ovn_skill_node_arb_caravan_master_self_0		wh3_main_skill_cth_lord_magistrate_self_strategist	ovn_skill_node_set_arb_caravan_master		1.0	0.0		0	0	true
ovn_skill_node_arb_caravan_master_self_1		wh3_main_skill_cth_lord_magistrate_self_inspired_assault	ovn_skill_node_set_arb_caravan_master		1.0	1.0		0	0	true
ovn_skill_node_arb_caravan_master_self_2		wh3_main_skill_cth_lord_magistrate_self_inspired_defence	ovn_skill_node_set_arb_caravan_master		1.0	2.0		0	0	true
ovn_skill_node_arb_caravan_master_self_3		wh3_main_skill_cth_lord_magistrate_self_inspired_marksmanship	ovn_skill_node_set_arb_caravan_master		1.0	3.0		0	0	true
ovn_skill_node_arb_caravan_master_self_4		wh3_main_skill_cth_lord_magistrate_self_grand_strategist	ovn_skill_node_set_arb_caravan_master		1.0	4.0		0	3	true
ovn_skill_node_arb_caravan_master_combat_0		wh_main_skill_all_all_self_hard_to_hit_starter	ovn_skill_node_set_arb_caravan_master		3.0	0.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_1_1		wh2_dlc11_skill_all_lord_self_devastating_charge	ovn_skill_node_set_arb_caravan_master		3.0	1.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_1_2		wh2_dlc11_skill_all_lord_self_full_plate_armour	ovn_skill_node_set_arb_caravan_master		3.0	2.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_1_3		wh2_dlc11_skill_all_lord_self_scarred_veteran	ovn_skill_node_set_arb_caravan_master		3.0	3.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_1_4		wh2_dlc11_skill_all_lord_self_deadly_blade	ovn_skill_node_set_arb_caravan_master		3.0	4.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_2		wh_main_skill_all_all_self_foe-seeker	ovn_skill_node_set_arb_caravan_master		3.0	5.0		0	4	true
ovn_skill_node_arb_caravan_master_combat_3_1		wh2_dlc11_skill_all_lord_self_wound-maker	ovn_skill_node_set_arb_caravan_master		3.0	6.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_3_2		wh2_dlc11_skill_all_lord_self_blade_master	ovn_skill_node_set_arb_caravan_master		3.0	7.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_3_3		wh2_dlc11_skill_all_lord_self_self_indomitable	ovn_skill_node_set_arb_caravan_master		3.0	8.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_3_4		wh2_dlc11_skill_all_lord_self_blade_shield	ovn_skill_node_set_arb_caravan_master		3.0	9.0		0	0	true
ovn_skill_node_arb_caravan_master_combat_4		wh_main_skill_all_all_self_deadly_onslaught	ovn_skill_node_set_arb_caravan_master		3.0	10.0		0	4	true
ovn_skill_node_arb_caravan_master_army_0		wh_main_skill_all_lord_battle_inspiring_presence	ovn_skill_node_set_arb_caravan_master		4.0	0.0		0	0	true
ovn_skill_node_arb_caravan_master_army_1_1		ovn_skill_arb_army_buff_melee_infantry	ovn_skill_node_set_arb_caravan_master		4.0	1.0		0	0	true
ovn_skill_node_arb_caravan_master_army_1_2		ovn_skill_arb_army_buff_ranged_nongunpowder	ovn_skill_node_set_arb_caravan_master		4.0	2.0		0	0	true
ovn_skill_node_arb_caravan_master_army_1_3		ovn_skill_arb_army_buff_melee_cavalry	ovn_skill_node_set_arb_caravan_master		4.0	3.0		0	0	true
ovn_skill_node_arb_caravan_master_army_1_4		ovn_skill_arb_army_buff_ranged_gunpowder_naphtha	ovn_skill_node_set_arb_caravan_master		4.0	4.0		0	0	true
ovn_skill_node_arb_caravan_master_army_1_5		ovn_skill_arb_army_buff_djinns	ovn_skill_node_set_arb_caravan_master		4.0	5.0		0	0	true
ovn_skill_node_arb_caravan_master_army_1_6		ovn_skill_arb_army_buff_beasts	ovn_skill_node_set_arb_caravan_master		4.0	6.0		0	0	true
ovn_skill_node_arb_caravan_master_army_2		wh_main_skill_all_lord_battle_rally	ovn_skill_node_set_arb_caravan_master		4.0	7.0		0	4	true
ovn_skill_node_arb_caravan_master_army_3_1		ovn_skill_arb_army_buff_beasts_rank7	ovn_skill_node_set_arb_caravan_master		4.0	8.0		0	0	true
ovn_skill_node_arb_caravan_master_army_3_2		ovn_skill_arb_army_buff_magic_rank7	ovn_skill_node_set_arb_caravan_master		4.0	9.0		0	0	true
ovn_skill_node_arb_caravan_master_army_3_3		ovn_skill_arb_army_buff_nomads_rank7	ovn_skill_node_set_arb_caravan_master		4.0	10.0		0	0	true
