uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/ovn_araby_only					
ovn_arb_cha_champion_01	ovn_arb_cha_champion_01	ovn_arb_cha_champion_01	ovn_arb_cha_champion_01		
ovn_arb_cha_champion_02	ovn_arb_cha_champion_02	ovn_arb_cha_champion_02	ovn_arb_cha_champion_02		
ovn_arb_cha_champion_03	ovn_arb_cha_champion_03	ovn_arb_cha_champion_03	ovn_arb_cha_champion_03		
ovn_arb_cha_champion_wazar	ovn_arb_cha_champion_wazar	ovn_arb_cha_champion_wazar	ovn_arb_cha_champion_wazar		
ovn_arb_cha_hashashin_01	ovn_arb_cha_hashashin_01	ovn_arb_cha_hashashin_01	ovn_arb_cha_hashashin_01		
ovn_arb_cha_hashashin_02	ovn_arb_cha_hashashin_02	ovn_arb_cha_hashashin_02	ovn_arb_cha_hashashin_02		
ovn_arb_cha_hashashin_03	ovn_arb_cha_hashashin_03	ovn_arb_cha_hashashin_03	ovn_arb_cha_hashashin_03		
ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_01		
ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_02		
ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_03		
ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed	ovn_arb_cha_sheikh_mehmed		
ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0		
ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0		
ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_0		
ovn_campaign_arb_ship_flaming_scimitar_army	ovn_campaign_arb_ship_flaming_scimitar_army		ovn_campaign_arb_ship_flaming_scimitar_army		
ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	wh2_main_campaign_def_ship_agent		
ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	wh2_main_def_ship_army		
ovn_uniform_arb_magician_life	ovn_uniform_arb_magician_life	ovn_uniform_arb_magician_life	ovn_uniform_arb_magician_life		
ovn_uniform_arb_magicican_desert	ovn_uniform_arb_magicican_desert	ovn_uniform_arb_magicican_desert	ovn_uniform_arb_magicican_desert		
ovn_uniform_arb_magicican_fire	ovn_uniform_arb_magicican_fire	ovn_uniform_arb_magicican_fire	ovn_uniform_arb_magicican_fire		
ovn_uniform_arb_magician_heavens	ovn_uniform_arb_magician_heavens	ovn_uniform_arb_magician_heavens	ovn_uniform_arb_magician_heavens		
ovn_uniform_arb_magician_life_2	ovn_uniform_arb_magician_life_2	ovn_uniform_arb_magician_life_2	ovn_uniform_arb_magician_life_2		
ovn_uniform_arb_magicican_desert_2	ovn_uniform_arb_magicican_desert_2	ovn_uniform_arb_magicican_desert_2	ovn_uniform_arb_magicican_desert_2		
ovn_uniform_arb_magicican_fire_2	ovn_uniform_arb_magicican_fire_2	ovn_uniform_arb_magicican_fire_2	ovn_uniform_arb_magicican_fire_2		
ovn_uniform_arb_magician_heavens_2	ovn_uniform_arb_magician_heavens_2	ovn_uniform_arb_magician_heavens_2	ovn_uniform_arb_magician_heavens_2		
ovn_uniform_arb_magician_life_3	ovn_uniform_arb_magician_life_3	ovn_uniform_arb_magician_life_3	ovn_uniform_arb_magician_life_3		
ovn_uniform_arb_magicican_desert_3	ovn_uniform_arb_magicican_desert_3	ovn_uniform_arb_magicican_desert_3	ovn_uniform_arb_magicican_desert_3		
ovn_uniform_arb_magicican_fire_3	ovn_uniform_arb_magicican_fire_3	ovn_uniform_arb_magicican_fire_3	ovn_uniform_arb_magicican_fire_3		
ovn_uniform_arb_magician_heavens_3	ovn_uniform_arb_magician_heavens_3	ovn_uniform_arb_magician_heavens_3	ovn_uniform_arb_magician_heavens_3		
ovn_uniform_arb_magician_life_carpet	ovn_arb_ch_magician_life_carpet	ovn_arb_ch_magician_life_carpet	ovn_arb_ch_magician_life_carpet		
ovn_uniform_arb_magicican_desert_carpet	ovn_arb_ch_magician_desert_carpet	ovn_arb_ch_magician_desert_carpet	ovn_arb_ch_magician_desert_carpet		
ovn_uniform_arb_magicican_fire_carpet	ovn_arb_ch_magician_fire_carpet	ovn_arb_ch_magician_fire_carpet	ovn_arb_ch_magician_fire_carpet		
ovn_uniform_arb_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet		
ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0		
ovn_arb_cha_vizier_fire_01	ovn_arb_cha_vizier_fire_01	ovn_arb_cha_vizier_fire_01	ovn_arb_cha_vizier_fire_01		
ovn_arb_cha_vizier_life_01	ovn_arb_cha_vizier_life_01	ovn_arb_cha_vizier_life_01	ovn_arb_cha_vizier_life_01		
ovn_arb_cha_vizier_heavens_01	ovn_arb_cha_vizier_heavens_01	ovn_arb_cha_vizier_heavens_01	ovn_arb_cha_vizier_heavens_01		
ovn_arb_cha_vizier_desert_01	ovn_arb_cha_vizier_desert_01	ovn_arb_cha_vizier_desert_01	ovn_arb_cha_vizier_desert_01		
ovn_arb_cha_vizier_fire_02	ovn_arb_cha_vizier_fire_02	ovn_arb_cha_vizier_fire_02	ovn_arb_cha_vizier_fire_02		
ovn_arb_cha_vizier_life_02	ovn_arb_cha_vizier_life_02	ovn_arb_cha_vizier_life_02	ovn_arb_cha_vizier_life_02		
ovn_arb_cha_vizier_heavens_02	ovn_arb_cha_vizier_heavens_02	ovn_arb_cha_vizier_heavens_02	ovn_arb_cha_vizier_heavens_02		
ovn_arb_cha_vizier_desert_02	ovn_arb_cha_vizier_desert_02	ovn_arb_cha_vizier_desert_02	ovn_arb_cha_vizier_desert_02		
ovn_arb_cha_vizier_fire_03	ovn_arb_cha_vizier_fire_03	ovn_arb_cha_vizier_fire_03	ovn_arb_cha_vizier_fire_03		
ovn_arb_cha_vizier_life_03	ovn_arb_cha_vizier_life_03	ovn_arb_cha_vizier_life_03	ovn_arb_cha_vizier_life_03		
ovn_arb_cha_vizier_heavens_03	ovn_arb_cha_vizier_heavens_03	ovn_arb_cha_vizier_heavens_03	ovn_arb_cha_vizier_heavens_03		
ovn_arb_cha_vizier_desert_03	ovn_arb_cha_vizier_desert_03	ovn_arb_cha_vizier_desert_03	ovn_arb_cha_vizier_desert_03		
ovn_arb_cha_caravan_master_01	ovn_arb_cha_caravan_master_01	ovn_arb_cha_caravan_master_01	ovn_arb_cha_caravan_master_01		
ovn_arb_cha_caravan_master_02	ovn_arb_cha_caravan_master_02	ovn_arb_cha_caravan_master_02	ovn_arb_cha_caravan_master_02		
ovn_arb_cha_caravan_master_03	ovn_arb_cha_caravan_master_03	ovn_arb_cha_caravan_master_03	ovn_arb_cha_caravan_master_03		
