character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/ovn_araby_only												
ovn_arb_cha_magician_life_0	1	999983023	wh_dlc05_lore_life	100	999983087	ovn_arb_cha_magician_life_0	wizard	arb_magician_life	ui/portraits/portholes/no_culture/araby_wiz_life.png	159255514		true
ovn_arb_cha_magician_desert_0	1	999983024	ovn_lore_desert	100	999983088	ovn_arb_cha_magician_desert_0	wizard	arb_magician_desert	ui/portraits/portholes/no_culture/araby_wiz.png	159255515		true
ovn_arb_cha_magician_fire_0	1	999983025	wh_main_lore_fire	100	999983089	ovn_arb_cha_magician_fire_0	wizard	arb_magician_fire	ui/portraits/portholes/no_culture/araby_wiz_fire.png	159255516		true
ovn_arb_cha_magician_heavens_0	1	999983026	wh_main_lore_heavens	100	999983090	ovn_arb_cha_magician_heavens_0	wizard	arb_magician_heavens	ui/portraits/portholes/no_culture/araby_wiz_sky.png	159255517		true
ovn_arb_cha_nomad_0	1	999983097		100	3508823151	ovn_arb_cha_nomad_0	spy	arb_nomad	ui/portraits/portholes/no_culture/roy_arb_cha_nomad.png	159255522		true
ovn_arb_cha_champion_0	1	3508823148		100	3508823154	ovn_arb_cha_champion_0	champion	arb_champion	ui/portraits/portholes/no_culture/ovn_arb_cha_champion.png	159255518		true
ovn_arb_cha_sheikh_0	1	3508823146		100	3508823167	ovn_arb_cha_sheikh_0	general	arb_sheikh	ui/portraits/portholes/no_culture/arb_sheikh_01.png	159255511		true
ovn_arb_cha_sheikh_1	1	3508823146		100	3508823167	ovn_arb_cha_sheikh_1	general	arb_sheikh	ui/portraits/portholes/no_culture/arb_sheikh_02.png	159255512		true
ovn_arb_cha_sheikh_2	1	3508823146		100	3508823167	ovn_arb_cha_sheikh_2	general	arb_sheikh	ui/portraits/portholes/no_culture/arb_sheikh_01.png	159255511		true
ovn_arb_cha_sheikh_3	1	3508823146		100	3508823167	ovn_arb_cha_sheikh_3	general	arb_sheikh	ui/portraits/portholes/no_culture/arb_sheikh_03.png	159255513		true
ovn_arb_cha_sheikh_mehmed_0	1	3508823269		100		ovn_arb_cha_sheikh_mehmed_0	general	arb_sheikh_mehmed	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	159255550		true
ovn_arb_cha_sheikh_mehmed_1	1	3508823269		100		ovn_arb_cha_sheikh_mehmed_1	general	arb_sheikh_mehmed	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	159255550		true
ovn_arb_cha_sheikh_mehmed_2	1	3508823269		100		ovn_arb_cha_sheikh_mehmed_2	general	arb_sheikh_mehmed	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	159255550		true
ovn_arb_cha_sheikh_mehmed_3	1	3508823269		100		ovn_arb_cha_sheikh_mehmed_3	general	arb_sheikh_mehmed	ui/portraits/portholes/no_culture/arb_sheikh_mehmed.png	159255550		true
ovn_arb_cha_sultan_jaffar_0	1	999982322	wh_main_lore_jaffar	100	999982323	ovn_arb_cha_sultan_jaffar_0	general	arb_sultan_jaffar	ui/portraits/portholes/no_culture/arb_sultan_jaffar.png	159255510		true
ovn_arb_cha_fatandira_0	1	999982308		100		ovn_arb_cha_fatandira_0	general	arb_fatandira	ui/portraits/portholes/no_culture/arb_fatandira.png	159255532		true
ovn_arb_cha_fatandira_1	1	999982308		100		ovn_arb_cha_fatandira_1	general	arb_fatandira	ui/portraits/portholes/no_culture/arb_fatandira.png	159255532		true
ovn_arb_cha_fatandira_2	1	999982308		100		ovn_arb_cha_fatandira_2	general	arb_fatandira	ui/portraits/portholes/no_culture/arb_fatandira.png	159255532		true
ovn_arb_cha_golden_magus_0	1	999982318	ovn_lore_golden_magus	100		ovn_arb_cha_golden_magus_0	general	arb_golden_magus	ui/portraits/portholes/no_culture/arb_golden_magus.png	159255533		true
ovn_arb_cha_golden_magus_1	1	999982318	ovn_lore_golden_magus	100		ovn_arb_cha_golden_magus_1	general	arb_golden_magus	ui/portraits/portholes/no_culture/arb_golden_magus.png	159255533		true
ovn_arb_cha_golden_magus_2	1	999982318	ovn_lore_golden_magus	100		ovn_arb_cha_golden_magus_2	general	arb_golden_magus	ui/portraits/portholes/no_culture/arb_golden_magus.png	159255533		true
