faction	vehicle
#battle_siege_vehicle_permissions_tables;0;db/battle_siege_vehicle_permissions_tables/ovn_araby_only	
ovn_arb_sultanate_of_all_araby	arb_battering_ram
ovn_arb_sultanate_of_all_araby	arb_siege_tower_15m
ovn_arb_aswad_scythans	arb_battering_ram
ovn_arb_aswad_scythans	arb_siege_tower_15m
ovn_arb_golden_fleet	arb_battering_ram
ovn_arb_golden_fleet	arb_siege_tower_15m
ovn_arb_sultanate_of_el_kalabad	arb_battering_ram
ovn_arb_sultanate_of_el_kalabad	arb_siege_tower_15m
ovn_arb_sultanate_of_martek_custom_battle_only	arb_battering_ram
ovn_arb_sultanate_of_martek_custom_battle_only	arb_siege_tower_15m
ovn_arb_sultanate_of_copher_custom_battle_only	arb_battering_ram
ovn_arb_sultanate_of_copher_custom_battle_only	arb_siege_tower_15m
ovn_arb_principality_of_fyrus_custom_battle_only	arb_battering_ram
ovn_arb_principality_of_fyrus_custom_battle_only	arb_siege_tower_15m
ovn_arb_corsairs_of_lashiek_custom_battle_only	arb_battering_ram
ovn_arb_corsairs_of_lashiek_custom_battle_only	arb_siege_tower_15m
ovn_arb_sultanate_of_ka-sabar_custom_battle_only	arb_battering_ram
ovn_arb_sultanate_of_ka-sabar_custom_battle_only	arb_siege_tower_15m
ovn_arabyan_college_of_sorcerers_custom_battle_only	arb_battering_ram
ovn_arabyan_college_of_sorcerers_custom_battle_only	arb_siege_tower_15m
ovn_arb_cult_of_the_djinns_custom_battle_only	arb_battering_ram
ovn_arb_cult_of_the_djinns_custom_battle_only	arb_siege_tower_15m
mixer_arb_araby_dummy	arb_battering_ram
mixer_arb_araby_dummy	arb_siege_tower_15m
ovn_arb_sultanate_ind	arb_battering_ram
ovn_arb_sultanate_ind	arb_siege_tower_15m
ovn_arb_cult_of_the_djinns	arb_battering_ram
ovn_arb_cult_of_the_djinns	arb_siege_tower_15m
