key	building	unit	XP	conditions	faction	enabled
#building_units_allowed_tables;4;db/building_units_allowed_tables/ovn_araby_golden_magus						
345368990	ovn_arb_flaming_scimitar_main_1	ovn_arb_inf_corsairs	0	0		false
345368991	ovn_arb_flaming_scimitar_main_2	ovn_arb_inf_corsairs	0	0		false
345368992	ovn_arb_flaming_scimitar_main_3	ovn_arb_inf_corsairs	0	0		false
345368993	ovn_arb_flaming_scimitar_main_3	wh3_main_ogr_inf_maneaters_0	0	0		false
345368994	ovn_arb_flaming_scimitar_main_3	wh3_main_ogr_inf_maneaters_3	0	0		false
345368995	ovn_arb_flaming_scimitar_main_4	ovn_arb_inf_corsairs	0	0		false
345368996	ovn_arb_flaming_scimitar_main_4	wh3_main_ogr_inf_maneaters_0	0	0		false
345368997	ovn_arb_flaming_scimitar_main_4	wh3_main_ogr_inf_maneaters_3	0	0		false
345368998	ovn_arb_flaming_scimitar_main_5	ovn_arb_inf_corsairs	0	0		false
345368999	ovn_arb_flaming_scimitar_main_5	wh3_main_ogr_inf_maneaters_0	0	0		false
345369000	ovn_arb_flaming_scimitar_main_5	wh3_main_ogr_inf_maneaters_3	0	0		false
345369001	ovn_arb_flaming_scimitar_nomad_infantry_1	ovn_arb_inf_alrahem_nomads	0	0		false
345369002	ovn_arb_flaming_scimitar_nomad_infantry_1	ovn_arb_inf_jezzails	0	0		false
345369003	ovn_arb_flaming_scimitar_nomad_infantry_1	ovn_arb_inf_arabyan_guard	0	0		false
345369004	ovn_arb_flaming_scimitar_nomad_infantry_2	ovn_arb_inf_alrahem_nomads	0	0		false
345369005	ovn_arb_flaming_scimitar_nomad_infantry_2	ovn_arb_inf_jezzails	0	0		false
345369006	ovn_arb_flaming_scimitar_nomad_infantry_2	ovn_arb_inf_southland_warriors	0	0		false
345369007	ovn_arb_flaming_scimitar_nomad_infantry_2	ovn_arb_inf_arabyan_guard	0	0		false
345369008	ovn_arb_flaming_scimitar_barracks_1	ovn_arb_inf_arabyan_warriors	0	0		false
345369009	ovn_arb_flaming_scimitar_barracks_1	ovn_arb_inf_arabyan_spearmen	0	0		false
345369010	ovn_arb_flaming_scimitar_barracks_1	ovn_arb_inf_arabyan_bowmen	0	0		false
345369011	ovn_arb_flaming_scimitar_barracks_1	ovn_arb_cav_lancer_camels	0	0		false
345369012	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_inf_arabyan_warriors	0	0		false
345369013	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_inf_arabyan_spearmen	0	0		false
345369014	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_inf_arabyan_bowmen	0	0		false
345369015	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_cav_arabyan_knights	0	0		false
345369016	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_cav_lancer_camels	0	0		false
345369017	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_cav_bedouin_scouts	0	0		false
345369018	ovn_arb_flaming_scimitar_barracks_2	ovn_arb_cav_archer_camels	0	0		false
345369019	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_inf_arabyan_warriors	0	0		false
345369020	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_inf_arabyan_spearmen	0	0		false
345369021	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_inf_arabyan_bowmen	0	0		false
345369022	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_cav_arabyan_knights	0	0		false
345369023	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_cav_lancer_camels	0	0		false
345369024	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_cav_bedouin_scouts	0	0		false
345369025	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_cav_archer_camels	0	0		false
345369026	ovn_arb_flaming_scimitar_barracks_3	ovn_arb_cav_jezzail_camels	0	0		false
345369027	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_inf_arabyan_warriors	0	0		false
345369028	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_inf_arabyan_spearmen	0	0		false
345369029	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_inf_arabyan_bowmen	0	0		false
345369030	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_arabyan_knights	0	0		false
345369031	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_lancer_camels	0	0		false
345369032	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_bedouin_scouts	0	0		false
345369033	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_archer_camels	0	0		false
345369034	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_jezzail_camels	0	0		false
345369035	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_waghzen	0	0		false
345369036	ovn_arb_flaming_scimitar_barracks_4	ovn_arb_cav_sipahis	0	0		false
345369037	ovn_arb_flaming_scimitar_support_mages_1	ovn_arb_inf_dervishers	0	0		false
345369038	ovn_arb_flaming_scimitar_support_mages_1	ovn_arb_cav_flying_carpets	0	0		false
345369039	ovn_arb_flaming_scimitar_support_mages_2	ovn_arb_inf_dervishers	0	0		false
345369040	ovn_arb_flaming_scimitar_support_mages_2	ovn_arb_cav_flying_carpets	0	0		false
345369041	ovn_arb_flaming_scimitar_support_mages_2	ovn_arb_mon_enchanted_rope	0	0		false
345369042	ovn_arb_flaming_scimitar_support_mages_2	ovn_arb_mon_genie	0	0		false
345369043	ovn_arb_flaming_scimitar_support_mages_3	ovn_arb_inf_dervishers	0	0		false
345369044	ovn_arb_flaming_scimitar_support_mages_3	ovn_arb_cav_flying_carpets	0	0		false
345369045	ovn_arb_flaming_scimitar_support_mages_3	ovn_arb_mon_enchanted_rope	0	0		false
345369046	ovn_arb_flaming_scimitar_support_mages_3	ovn_arb_mon_genie	0	0		false
345369047	ovn_arb_flaming_scimitar_support_mages_3	ovn_arb_djinn_carriage	0	0		false
345369048	ovn_arb_flaming_scimitar_support_monsters_1	ovn_arb_mon_elephant	0	0		false
345369049	ovn_arb_flaming_scimitar_support_monsters_2	ovn_arb_mon_elephant	0	0		false
345369050	ovn_arb_flaming_scimitar_support_monsters_2	ovn_arb_mon_war_elephant	0	0		false
345369051	ovn_arb_flaming_scimitar_support_monsters_2	ovn_arb_mon_giant_vulture_feral	0	0		false
345369052	ovn_arb_flaming_scimitar_defense_bombardment_1	ovn_arb_art_quadballista	0	0		false
345369053	ovn_arb_flaming_scimitar_defense_magical_bombardment_1	ovn_arb_art_quadballista	0	0		false
345369054	ovn_arb_flaming_scimitar_defense_magical_bombardment_1	ovn_arb_art_grand_bombard	0	0		false
345369055	ovn_arb_flaming_scimitar_defense_magical_bombardment_2	ovn_arb_art_quadballista	0	0		false
345369056	ovn_arb_flaming_scimitar_defense_magical_bombardment_2	ovn_arb_art_grand_bombard	0	0		false
345369057	ovn_arb_flaming_scimitar_defense_magical_bombardment_2	ovn_arb_art_naphtha_thrower	0	0		false
345369058	ovn_arb_flaming_scimitar_structure_replenishment_1	ovn_arb_inf_sharkas_slaves	0	0		false
345369059	ovn_arb_flaming_scimitar_structure_replenishment_2	ovn_arb_inf_sharkas_slaves	0	0		false
345369060	ovn_arb_flaming_scimitar_structure_replenishment_3	ovn_arb_inf_sharkas_slaves	0	0		false
345369061	ovn_arb_flaming_scimitar_structure_replenishment_2	ovn_arb_inf_pit_fighters	0	0		false
345369062	ovn_arb_flaming_scimitar_structure_replenishment_3	ovn_arb_inf_pit_fighters	0	0		false
