set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/ovn_arb_champion		
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_path_01	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_path_02	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_path_03	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_01	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_02	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_03	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_04	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_05	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_06	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_campaign_actions_dummy	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_immortality	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_01_01	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_01_02	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_01_03	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_01_04	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_01_05	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_02	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_03	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_04	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_05	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_06	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_07	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_08	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_09	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_10	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_11	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_12	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_13	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_14	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_15	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_16	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_17	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_18	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_19	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_20	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_21	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_22	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_innate_23	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_01	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_02	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_03	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_04	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_05	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_06	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_07	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_08	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_09	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_10	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_self_11	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_unique_01	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_unique_02	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_unique_03	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_unique_04	false
wh2_main_skill_node_set_arb_roy_champion	wh2_main_skill_node_arb_champion_mentor	false
wh2_main_skill_node_set_arb_roy_champion	wh3_main_agent_action_scaling_wh2_main_skill_node_arb_champion	false
