bonus_value_id	effect	special_ability_group
#effect_bonus_value_special_ability_group_junctions_tables;0;db/effect_bonus_value_special_ability_group_junctions_tables/ovn_araby_only		
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	ovn_lore_desert
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	ovn_lore_desert_upgraded
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	ovn_lore_desert
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	ovn_lore_desert_upgraded
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	ovn_lore_desert
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	ovn_lore_desert_upgraded
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	ovn_lore_desert
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	ovn_lore_desert_upgraded
cost_percentage_mod	wh3_main_effect_wom_costs_overcast_percentage	ovn_lore_desert_upgraded
