effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/ovn_araby_only		
ovn_effect_ability_enable_blessing_of_the_elements	enable	ovn_lore_passive_blessing_of_the_elements
ovn_effect_magic_desert_enable_mirage	enable	ovn_spell_desert_mirage
ovn_effect_magic_desert_enable_mirage_upgraded	enable_overchage	ovn_spell_desert_mirage
ovn_effect_magic_desert_enable_mirage_upgraded	enable	ovn_spell_desert_mirage
ovn_effect_magic_desert_cooldown_mirage	recharge_mod	ovn_spell_desert_mirage
ovn_effect_magic_desert_miscast_reduction_mirage_upgraded	miscast_percentage_mod	ovn_spell_desert_mirage_upgraded
ovn_effect_magic_desert_reduce_wom_cost_mirage	cost_mod	ovn_spell_desert_mirage
ovn_effect_magic_desert_reduce_wom_cost_mirage_upgraded	cost_mod	ovn_spell_desert_mirage_upgraded
ovn_effect_magic_desert_enable_sunstrike	enable	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_enable_bound_sunstrike	enable	ovn_spell_bound_desert_sunstrike
ovn_effect_magic_desert_cooldown_sunstrike	recharge_mod	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_enable_sunstrike_upgraded	enable_overchage	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_enable_sunstrike_upgraded	enable	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_miscast_reduction_sunstrike_upgraded	miscast_percentage_mod	ovn_spell_desert_sunstrike_upgraded
ovn_effect_magic_desert_reduce_wom_cost_sunstrike	cost_mod	ovn_spell_desert_sunstrike
ovn_effect_magic_desert_reduce_wom_cost_sunstrike_upgraded	cost_mod	ovn_spell_desert_sunstrike_upgraded
ovn_effect_magic_desert_enable_bound_sandstorm	enable	ovn_spell_bound_desert_sandstorm
ovn_effect_magic_desert_enable_sandstorm	enable	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_cooldown_sandstorm	recharge_mod	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_enable_sandstorm_upgraded	enable_overchage	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_enable_sandstorm_upgraded	enable	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_miscast_reduction_sandstorm_upgraded	miscast_percentage_mod	ovn_spell_desert_sandstorm_upgraded
ovn_effect_magic_desert_reduce_wom_cost_sandstorm	cost_mod	ovn_spell_desert_sandstorm
ovn_effect_magic_desert_reduce_wom_cost_sandstorm_upgraded	cost_mod	ovn_spell_desert_sandstorm_upgraded
ovn_effect_magic_desert_enable_bound_quicksand	enable	ovn_spell_bound_desert_quicksand
ovn_effect_magic_desert_enable_quicksand	enable	ovn_spell_desert_quicksand
ovn_effect_magic_desert_enable_quicksand_upgraded	enable_overchage	ovn_spell_desert_quicksand
ovn_effect_magic_desert_enable_quicksand_upgraded	enable	ovn_spell_desert_quicksand
ovn_effect_magic_desert_cooldown_quicksand	recharge_mod	ovn_spell_desert_quicksand
ovn_effect_magic_desert_miscast_reduction_quicksand_upgraded	miscast_percentage_mod	ovn_spell_desert_quicksand_upgraded
ovn_effect_magic_desert_reduce_wom_cost_quicksand	cost_mod	ovn_spell_desert_quicksand
ovn_effect_magic_desert_reduce_wom_cost_quicksand_upgraded	cost_mod	ovn_spell_desert_quicksand_upgraded
ovn_effect_magic_desert_enable_burning_hands	enable	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_enable_burning_hands_upgraded	enable_overchage	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_enable_burning_hands_upgraded	enable	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_cooldown_burning_hands	recharge_mod	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_miscast_reduction_burning_hands_upgraded	miscast_percentage_mod	ovn_spell_desert_burning_hands_upgraded
ovn_effect_magic_desert_reduce_wom_cost_burning_hands	cost_mod	ovn_spell_desert_burning_hands
ovn_effect_magic_desert_reduce_wom_cost_burning_hands_upgraded	cost_mod	ovn_spell_desert_burning_hands_upgraded
ovn_effect_magic_desert_enable_bound_curse_of_the_djinn	enable	ovn_spell_bound_desert_curse_of_the_djinn
ovn_effect_magic_desert_enable_curse_of_the_djinn	enable	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_enable_curse_of_the_djinn_upgraded	enable_overchage	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_enable_curse_of_the_djinn_upgraded	enable	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_cooldown_curse_of_the_djinn	recharge_mod	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_miscast_reduction_curse_of_the_djinn_upgraded	miscast_percentage_mod	ovn_spell_desert_curse_of_the_djinn_upgraded
ovn_effect_magic_desert_reduce_wom_cost_curse_of_the_djinn	cost_mod	ovn_spell_desert_curse_of_the_djinn
ovn_effect_magic_desert_reduce_wom_cost_curse_of_the_djinn_upgraded	cost_mod	ovn_spell_desert_curse_of_the_djinn_upgraded
summon_djinn_fighter	enable	ovn_hero_abilities_summon_fire_efreet
wh2_dlc12_army_abilities_great_invocation_of_djinn	enable	wh2_dlc12_army_abilities_great_invocation_of_djinn
arb_jaffar_serpent_djinn_enable	enable	arb_jaffar_serpent_djinn
arb_jaffar_enable_aura_will	enable	arb_jaffar_aura_will
roy_effect_enable_arb_strike_from_the_shadows	enable	roy_unit_active_arb_strike_from_the_shadows
roy_effect_enable_arb_doppelgang	enable	roy_unit_active_arb_doppelgang
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	enable	ovn_arb_baz_ei_12_twilight_mirror_shard_ability
smokeleaf_smokescreen	enable	smokeleaf_smokescreen
ovn_arb_baz_wep_10_vengeful_sword_heal	enable	ovn_arb_baz_wep_10_vengeful_sword_heal
ovn_arb_baz_wep_10_vengeful_sword_damage_self	enable	ovn_arb_baz_wep_10_vengeful_sword_damage_self
ovn_arb_baz_wep_08_matyr_shard_ability	enable	ovn_arb_baz_wep_08_matyr_shard_ability
ovn_arb_baz_heal	enable	ovn_arb_baz_heal
ovn_arb_baz_arm_09_faith_shield_ability	enable	ovn_arb_baz_arm_09_faith_shield_ability
ovn_arb_baz_arm_08_gorgon_shield_ability	enable	ovn_arb_baz_arm_08_gorgon_shield_ability
ovn_arb_baz_escape	enable	ovn_arb_baz_escape
arb_fatandira_enable_aimed_shot	enable	arb_fatandira_aimed_shot
arb_fatandira_enable_aimed_shot_cooldown	recharge_mod	arb_fatandira_aimed_shot
arb_fatandira_enable_sand_feint	enable	arb_fatandira_desert_feint
arb_fatandira_enable_blades_demise	enable	arb_fatandira_blades_demise_skill
arb_golden_magus_enable_master_djinn	enable	arb_golden_magus_master_djinn
arb_golden_magus_enable_burning_scimitar	enable	arb_golden_magus_burning_scimitar_ability
enable_radiant_pegasus_ability	enable	ovn_radiant_pegasus_ability
ovn_effect_ability_enable_infernal_gateway_golden_magus	enable	wh3_main_spell_tzeentch_infernal_gateway_bound
ovn_effect_enable_arb_black_scimitar_ability	enable	arb_guard_ror_jaffar_elite
ovn_effect_mehmed_massacre_them	enable	ovn_mehmed_massacre_them
ovn_golden_scimitar_ability	enable	ovn_golden_scimitar_ability
ovn_weeping_blade_ability	enable	ovn_weeping_blade_ability
ovn_effect_magic_desert_uses_mod_mirage	uses_mod	ovn_spell_desert_mirage
ovn_effect_magic_desert_uses_mod_mirage	uses_mod	ovn_spell_desert_mirage_upgraded
