effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/rhox_araby_fatandira				
rhox_fatandira_pooled_resource_1	rhox_araby_fatandira_ror_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
rhox_fatandira_pooled_resource_1	wh_main_effect_public_order_faction	faction_to_province_own	5.0000	start_turn_completed
rhox_fatandira_pooled_resource_2	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
rhox_fatandira_pooled_resource_3	wh_main_effect_public_order_faction	faction_to_province_own	3.0000	start_turn_completed
rhox_fatandira_pooled_resource_4	wh_main_effect_public_order_faction	faction_to_province_own	2.0000	start_turn_completed
rhox_fatandira_pooled_resource_5	wh_main_effect_public_order_faction	faction_to_province_own	2.0000	start_turn_completed
rhox_fatandira_pooled_resource_6	wh_main_effect_public_order_faction	faction_to_province_own	4.0000	start_turn_completed
rhox_fatandira_pooled_resource_7	wh_main_effect_public_order_faction	faction_to_province_own	6.0000	start_turn_completed
rhox_fatandira_pooled_resource_8	wh_main_effect_public_order_faction	faction_to_province_own	8.0000	start_turn_completed
rhox_fatandira_pooled_resource_9	wh_main_effect_public_order_faction	faction_to_province_own	10.0000	start_turn_completed
rhox_fatandira_pooled_resource_1	wh_main_effect_province_growth_events	faction_to_province_own	30.0000	start_turn_completed
rhox_fatandira_pooled_resource_2	wh_main_effect_province_growth_events	faction_to_province_own	25.0000	start_turn_completed
rhox_fatandira_pooled_resource_3	wh_main_effect_province_growth_events	faction_to_province_own	20.0000	start_turn_completed
rhox_fatandira_pooled_resource_4	wh_main_effect_province_growth_events	faction_to_province_own	15.0000	start_turn_completed
rhox_fatandira_pooled_resource_5	wh_main_effect_province_growth_events	faction_to_province_own	10.0000	start_turn_completed
rhox_fatandira_pooled_resource_6	wh_main_effect_province_growth_events	faction_to_province_own	15.0000	start_turn_completed
rhox_fatandira_pooled_resource_7	wh_main_effect_province_growth_events	faction_to_province_own	15.0000	start_turn_completed
rhox_fatandira_pooled_resource_8	wh_main_effect_province_growth_events	faction_to_province_own	20.0000	start_turn_completed
rhox_fatandira_pooled_resource_9	wh_main_effect_province_growth_events	faction_to_province_own	20.0000	start_turn_completed
rhox_fatandira_pooled_resource_9	wh2_dlc09_bundle_tmb_final_battle_army_abilities	faction_to_force_own	1.0000	start_turn_completed
rhox_fatandira_pooled_resource_7	rhox_araby_tmb_weapon_strength	faction_to_force_own	5.0000	start_turn_completed
rhox_fatandira_pooled_resource_8	rhox_araby_tmb_weapon_strength	faction_to_force_own	10.0000	start_turn_completed
rhox_fatandira_pooled_resource_9	rhox_araby_tmb_weapon_strength	faction_to_force_own	15.0000	start_turn_completed
rhox_fatandira_pooled_resource_3	rhox_araby_araby_weapon_strength	faction_to_force_own	5.0000	start_turn_completed
