key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/rhox_araby						
1285735653	ovn_arb_tze_inf_pink_horrors_0_rhox_ovn_araby	0	rhox_araby_gm_tze_pool	ovn_arb_golden_fleet		
1285735654	ovn_arb_tze_mon_screamers_0_rhox_ovn_araby	0	rhox_araby_gm_tze_pool	ovn_arb_golden_fleet		
1285735655	ovn_arb_tze_mon_flamers_0_rhox_ovn_araby	0	rhox_araby_gm_tze_pool	ovn_arb_golden_fleet		
1285735656	ovn_arb_tze_inf_blue_horrors_0_rhox_ovn_araby	0	rhox_araby_gm_tze_pool	ovn_arb_golden_fleet		
1285735664	ovn_arb_tmb_mon_heirotitan_0_rhox_ovn_araby	0	rhox_araby_fat_tmb_pool	ovn_arb_aswad_scythans		
1285735665	ovn_arb_tmb_mon_necrosphinx_0_rhox_ovn_araby	0	rhox_araby_fat_tmb_pool	ovn_arb_aswad_scythans		
1285735666	ovn_arb_tmb_veh_khemrian_warsphinx_0_rhox_ovn_araby	0	rhox_araby_fat_tmb_pool	ovn_arb_aswad_scythans		
1285735667	ovn_arb_tmb_mon_ushabti_0_rhox_ovn_araby	0	rhox_araby_fat_tmb_pool	ovn_arb_aswad_scythans		
1285735668	ovn_arb_tmb_mon_ushabti_1_rhox_ovn_araby	0	rhox_araby_fat_tmb_pool	ovn_arb_aswad_scythans		
