feature	force_type
#military_force_type_feature_junctions_tables;0;db/military_force_type_feature_junctions_tables/ovn_araby_only	
character_bound	ovn_araby_flaming_scimitar_boat
general_is_irreplaceable	ovn_araby_flaming_scimitar_boat
can_attack_garrisons_from_sea	ovn_araby_flaming_scimitar_boat
fixed_camp	ARABY_CARAVAN
general_is_irreplaceable	ARABY_CARAVAN
resets_camera_after_battle	ARABY_CARAVAN
strategic_threat_irrelevant	ARABY_CARAVAN
unable_to_exchange_units	ARABY_CARAVAN
unable_to_keep_faction_alive	ARABY_CARAVAN
unable_to_recruit_units	ARABY_CARAVAN
upkeep_exempt	ARABY_CARAVAN
upkeep_exempt_in_limbo	ARABY_CARAVAN
upkeep_increase_exempt	ARABY_CARAVAN
