ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/ovn_araby_only							
ovn_arb_dervish_dance	0.0000	100.0000	time_in_melee	linear_multiplier	-1.0000	0.0000	false
ovn_spell_desert_sunstrike	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_sunstrike_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_bound_desert_sunstrike	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_sandstorm	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_sandstorm_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_burning_hands	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_burning_hands_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_curse_of_the_djinn	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_curse_of_the_djinn_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_bound_desert_curse_of_the_djinn	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_quicksand	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_desert_quicksand_upgraded	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_bound_desert_quicksand	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_bound_desert_sandstorm	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_bound_hashut_flames_of_azgorh	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
ovn_spell_bound_tempest_blizzard	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
wh_main_spell_fire_flaming_sword_of_rhuin_bound_camel_ror	1.0000	2.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
