order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/ovn_araby_only					
1	ovn_lore_passive_blessing_of_the_elements	true	true	false	ovn_lore_passive_blessing_of_the_elements
1	ovn_spell_desert_quicksand	false	false	true	ovn_spell_desert_quicksand_1
2	ovn_spell_desert_quicksand	false	false	true	ovn_spell_desert_quicksand_2
1	ovn_spell_desert_quicksand_upgraded	false	false	true	ovn_spell_desert_quicksand_upgraded_1
2	ovn_spell_desert_quicksand_upgraded	false	false	true	ovn_spell_desert_quicksand_upgraded_2
1	ovn_spell_bound_desert_quicksand	false	false	true	ovn_spell_desert_quicksand_1
2	ovn_spell_bound_desert_quicksand	false	false	true	ovn_spell_desert_quicksand_2
1	ovn_spell_desert_curse_of_the_djinn	false	false	true	ovn_spell_desert_curse_of_the_djinn
1	ovn_spell_desert_curse_of_the_djinn_upgraded	false	false	true	ovn_spell_desert_curse_of_the_djinn_upgraded
1	ovn_spell_bound_desert_curse_of_the_djinn	false	false	true	ovn_spell_desert_curse_of_the_djinn
1	blood_howl	true	false	false	blood_howl
1	arb_jaffar_aura_will	false	true	false	arb_jaffar_aura_will
1	roy_unit_active_arb_strike_from_the_shadows	true	false	false	roy_phase_active_arb_strike_from_the_shadows
1	roy_unit_active_arb_doppelgang	true	false	false	roy_phase_active_arb_doppelgang
1	arb_fatandira_desert_feint	true	true	false	arb_fatandira_desert_feint
1	arb_fatandira_blades_demise_skill	true	false	false	arb_fatandira_blades_demise_skill
1	arb_golden_magus_burning_scimitar_ability	true	true	false	arb_golden_magus_burning_scimitar_ability
1	arb_golden_magus_mistral	false	true	false	arb_golden_magus_mistral
1	arb_golden_magus_scirocco	false	false	true	arb_golden_magus_scirocco
1	arb_golden_magus_wrath_djinn_passive	true	false	false	arb_golden_magus_wrath_djinn_passive
1	ovn_arb_unit_passive_djinn_strong_binding	true	false	false	ovn_arb_unit_passive_djinn_strong_binding
1	ovn_arb_unit_passive_djinn_instability	true	false	false	ovn_arb_unit_passive_djinn_instability
1	ovn_arb_unit_passive_djinn_instability_ii	true	false	false	ovn_arb_unit_passive_djinn_instability_ii
1	ovn_arb_passive_djinn_carriage_power_of_djinn	true	false	false	ovn_arb_passive_djinn_carriage_power_of_djinn
1	ovn_arb_dervish_dance	true	false	false	ovn_arb_dervish_dance_1
1	arb_guard_ror_jaffar_elite	true	false	false	arb_guard_ror_jaffar_elite
1	wh_main_spell_fire_flaming_sword_of_rhuin_bound_camel_ror	true	true	false	wh_main_spell_fire_flaming_sword_of_rhuin
1	ovn_arb_loyal_guards	true	false	false	ovn_arb_loyal_guards
1	ovn_arb_pitfighters_enrage	true	false	false	ovn_arb_pitfighters_enrage
1	ovn_arb_al_muktar	false	false	true	ovn_arb_al_muktar
1	ovn_arb_passive_impetuous_charge	true	false	false	ovn_arb_passive_impetuous_charge
1	ovn_arb_rope	true	false	false	ovn_arb_rope_1
2	ovn_arb_rope	true	false	false	ovn_arb_rope_2
3	ovn_arb_rope	true	false	false	ovn_arb_rope_3
1	ovn_unit_passive_carrion_hunger	true	false	false	ovn_unit_passive_carrion_hunger
1	ovn_unit_abilities_doomed_vulture	false	false	true	ovn_unit_abilities_doomed_vulture
1	ovn_arb_passive_camel	true	false	false	ovn_arb_passive_camel
1	ovn_unit_passive_incarnate_curse_of_the_djinn	false	false	true	ovn_unit_passive_incarnate_curse_of_the_djinn
1	ovn_unit_passive_incarnate_regrowth	false	true	false	ovn_unit_passive_incarnate_regrowth
1	ovn_unit_passive_incarnate_curse_of_the_midnight_wind	false	false	true	ovn_unit_passive_incarnate_curse_of_the_midnight_wind
1	ovn_unit_passive_incarnate_quicksand	false	false	true	ovn_unit_passive_incarnate_quicksand
1	ovn_unit_passive_incarnate_cascading_fire_cloak	false	true	false	ovn_unit_passive_incarnate_cascading_fire_cloak
1	ovn_unit_passive_incarnate_curse_of_hashut	false	false	true	ovn_unit_passive_incarnate_curse_of_hashut
