attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn_araby_only	
causes_fear	ovn_arb_cha_sultan_jaffar_djinn_attributes
causes_terror	ovn_arb_cha_sultan_jaffar_djinn_attributes
encourages	ovn_arb_cha_sultan_jaffar_djinn_attributes
elemental	ovn_arb_cha_sultan_jaffar_djinn_attributes
causes_fear	ovn_arb_cha_sheikh_3_attributes
causes_terror	ovn_arb_cha_sheikh_3_attributes
hide_forest	ovn_arb_cha_sheikh_3_attributes
ignore_trees	ovn_arb_cha_sheikh_3_attributes
encourages	ovn_arb_cha_sheikh_3_attributes
mounted_fire_move	ovn_arb_cha_sheikh_3_attributes
causes_fear	ovn_arb_cha_vizier_djinn_carriage_attributes
encourages	ovn_arb_cha_vizier_djinn_carriage_attributes
charge_defense_vs_large	ovn_arb_inf_arabyan_spearmen_summoned_attributes
charge_reflection	ovn_arb_inf_arabyan_spearmen_summoned_attributes
hide_forest	ovn_arb_inf_arabyan_spearmen_summoned_attributes
unbreakable	ovn_arb_inf_arabyan_spearmen_summoned_attributes
mounted_fire_move	ovn_arb_cav_flying_carpets_attributes
flying	ovn_arb_cav_flying_carpets_attributes
strider	ovn_arb_cav_flying_carpets_attributes
causes_fear	ovn_arb_veh_djinn_carriage_attributes
causes_fear	ovn_arb_djinn_monster
causes_terror	ovn_arb_djinn_monster
elemental	ovn_arb_djinn_monster
causes_fear	ovn_arb_djinn_infantry
elemental	ovn_arb_djinn_infantry
causes_fear	ovn_arb_djinn_infantry_flying
flying	ovn_arb_djinn_infantry_flying
elemental	ovn_arb_djinn_infantry_flying
causes_fear	ovn_arb_mon_elephant
hide_forest	ovn_arb_mon_elephant
ignore_trees	ovn_arb_mon_elephant
causes_fear	ovn_arb_mon_war_elephant
causes_terror	ovn_arb_mon_war_elephant
hide_forest	ovn_arb_mon_war_elephant
ignore_trees	ovn_arb_mon_war_elephant
causes_fear	ovn_arb_mon_war_elephant_ror_2
causes_terror	ovn_arb_mon_war_elephant_ror_2
hide_forest	ovn_arb_mon_war_elephant_ror_2
ignore_trees	ovn_arb_mon_war_elephant_ror_2
mounted_fire_move	ovn_arb_mon_war_elephant_ror_2
causes_fear	ovn_arb_veh_naphtha_thrower_ror
causes_terror	ovn_arb_veh_naphtha_thrower_ror
mounted_fire_move	ovn_arb_veh_naphtha_thrower_ror
unbreakable	ovn_arb_veh_naphtha_thrower_ror
flanking_immune	ovn_arb_veh_naphtha_thrower_ror
elemental	ovn_arb_veh_naphtha_thrower_ror
encourages	ovn_arb_cha_wizard_flying_carpets_attributes
flying	ovn_arb_cha_wizard_flying_carpets_attributes
strider	ovn_arb_cha_wizard_flying_carpets_attributes
