ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/ovn_araby_only	
ovn_arb_grand_bombard_ror_sphere	ovn_arb_art_grand_bombard_ror
wh_main_unit_passive_frenzy	ovn_arb_art_grand_bombard_ror
blood_howl	ovn_arb_cav_archer_camels
blood_howl	ovn_arb_cav_bedouin_scouts
blood_howl	ovn_arb_cav_flying_carpets
blood_howl	ovn_arb_cav_jezzail_camels
blood_howl	ovn_arb_cav_lancer_camels
blood_howl	ovn_arb_cav_lancer_camels_ror
wh_main_spell_fire_flaming_sword_of_rhuin_bound_camel_ror	ovn_arb_cav_lancer_camels_ror
wh_main_spell_fire_the_burning_head_bound_camel_ror	ovn_arb_cav_lancer_camels_ror
blood_howl	ovn_arb_cav_sipahis_ror
ovn_arb_dervish_charge	ovn_arb_inf_dervishers
ovn_arb_dervish_dance	ovn_arb_inf_dervishers
wh_dlc03_unit_passive_drunken	ovn_arb_inf_corsairs
wh_main_character_abilities_foe_seeker	ovn_arb_cha_champion_0
wh_main_lord_passive_hold_the_line	ovn_arb_cha_champion_0
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_champion_0
wh_main_character_abilities_foe_seeker	ovn_arb_cha_champion_1
wh_main_lord_passive_hold_the_line	ovn_arb_cha_champion_1
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_champion_1
wh_main_character_abilities_foe_seeker	ovn_arb_cha_champion_2
wh_main_lord_passive_hold_the_line	ovn_arb_cha_champion_2
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_champion_2
wh_main_character_abilities_foe_seeker	ovn_arb_cha_champion_3
wh_main_lord_passive_hold_the_line	ovn_arb_cha_champion_3
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_champion_3
arb_fatandira_aimed_shot	ovn_arb_cha_fatandira_0
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_fatandira_0
wh_main_character_abilities_foe_seeker	ovn_arb_cha_fatandira_0
arb_fatandira_desert_feint	ovn_arb_cha_fatandira_0
wh_main_character_abilities_stand_your_ground	ovn_arb_cha_fatandira_0
arb_fatandira_aimed_shot	ovn_arb_cha_fatandira_1
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_fatandira_1
wh_main_character_abilities_foe_seeker	ovn_arb_cha_fatandira_1
arb_fatandira_desert_feint	ovn_arb_cha_fatandira_1
wh_main_character_abilities_stand_your_ground	ovn_arb_cha_fatandira_1
arb_fatandira_aimed_shot	ovn_arb_cha_fatandira_2
wh_main_character_abilities_deadly_onslaught	ovn_arb_cha_fatandira_2
wh_main_character_abilities_foe_seeker	ovn_arb_cha_fatandira_2
arb_fatandira_desert_feint	ovn_arb_cha_fatandira_2
wh_main_character_abilities_stand_your_ground	ovn_arb_cha_fatandira_2
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_golden_magus_0
arb_golden_magus_master_djinn	ovn_arb_cha_golden_magus_0
arb_golden_magus_wrath_djinn_passive	ovn_arb_cha_golden_magus_0
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_golden_magus_1
arb_golden_magus_master_djinn	ovn_arb_cha_golden_magus_1
arb_golden_magus_wrath_djinn_passive	ovn_arb_cha_golden_magus_1
ovn_unit_abilities_air_skiff_broadside_right	ovn_arb_cha_golden_magus_2
ovn_unit_abilities_air_skiff_broadside_left	ovn_arb_cha_golden_magus_2
wh_main_character_abilities_arcane_conduit	ovn_arb_cha_golden_magus_2
arb_golden_magus_master_djinn	ovn_arb_cha_golden_magus_2
arb_golden_magus_mistral	ovn_arb_cha_golden_magus_2
arb_golden_magus_scirocco	ovn_arb_cha_golden_magus_2
arb_golden_magus_wrath_djinn_passive	ovn_arb_cha_golden_magus_2
wh_main_hero_abilities_slippery	ovn_arb_cha_nomad_0
roy_unit_active_arb_strike_from_the_shadows	ovn_arb_cha_nomad_0
wh_main_hero_abilities_slippery	ovn_arb_cha_nomad_1
roy_unit_active_arb_strike_from_the_shadows	ovn_arb_cha_nomad_1
wh_main_hero_abilities_slippery	ovn_arb_cha_nomad_2
roy_unit_active_arb_strike_from_the_shadows	ovn_arb_cha_nomad_2
wh_main_hero_abilities_slippery	ovn_arb_cha_nomad_3
roy_unit_active_arb_strike_from_the_shadows	ovn_arb_cha_nomad_3
wh2_main_character_abilities_assassins_trophy	ovn_arb_cha_nomad_3
