key	maximum	minimum	ai_ignored	default_factor	optional_icon_path	income_policy	reset_before_income	scope	has_persistent_factors	sort_order	battle_conversion	appy_income_on_creation	always_display_zero_factors
#pooled_resources_tables;1;db/pooled_resources_tables/ovn_crafting_araby_slaves													
ovn_araby_victories_lzd	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_dwarfs	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_def	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_hef	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_men	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_undead	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_chaos	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_skv	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_nor	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_we	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_grn	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_bst	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
ovn_araby_victories_tmb	5000	0	false	wh2_main_resource_factor_other	ovn_araby_victories_men.png	END_OF_ROUND	false	FACTION	false	0		false	true
