deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/ovn_araby_only	
out_of_melee	blood_howl
engaged_in_melee	arb_fatandira_desert_feint
out_of_melee	arb_golden_magus_scirocco
health_above_50%	arb_golden_magus_wrath_djinn_passive
morale_is_higher_than_shattered	ovn_arb_unit_passive_djinn_instability_ii
morale_is_higher_than_broken	ovn_arb_unit_passive_djinn_instability
unit_is_not_charging	ovn_arb_dervish_charge
out_of_melee	ovn_arb_dervish_dance
other_abilities_just_activated_after_wind_up	ovn_lore_passive_blessing_of_the_elements
cannot_find_enemies_in_intercept_range	ovn_arb_people_nomads
