key	text	tooltip
#Loc;1;text/db/ovn_araby_only_unit_abilities.loc		
unit_abilities_onscreen_name_roy_unit_active_arb_strike_from_the_shadows	Concealment Bombs	true
unit_abilities_tooltip_text_roy_unit_active_arb_strike_from_the_shadows	When a bomb is smashed, a dark smoke curls out, concealing those who wish to hide and choking everyone else.	true
unit_abilities_onscreen_name_roy_unit_active_arb_doppelgang	Doppelgang	false
unit_abilities_tooltip_text_roy_unit_active_arb_doppelgang	Now you see him, now you don’t… and now you’re seeing double.	false
unit_abilities_onscreen_name_wh2_dlc12_army_abilities_great_invocation_of_djinn	Unleash Serpent Djinn	true
unit_abilities_tooltip_text_wh2_dlc12_army_abilities_great_invocation_of_djinn	Djinn come in many forms, but none is more feared and revered throughout Araby than the Serpent.	true
unit_abilities_onscreen_name_claws_of_forest	Summon a Forest Djinn	false
unit_abilities_onscreen_name_summon_djinn_fighter	Summon Unchained Efreet	true
unit_abilities_tooltip_text_summon_djinn_fighter	This Djinn has given in to the burning power of Aqshy, though those that burn so bright do not burn long.	true
unit_abilities_onscreen_name_arb_jaffar_serpent_djinn	Serpent Staff	false
unit_abilities_tooltip_text_arb_jaffar_serpent_djinn	Inside this ornate staff decorated with snake motifs is bound a malignant and ancient Serpent Djinn, imprisoned by powerful enchantments woven by Jaffar. Only Jaffar's will is strong enough to temporarily unleash it upon his enemies on the battlefield.	false
unit_abilities_onscreen_name_arb_jaffar_aura_will	Will of Jaffar	false
unit_abilities_tooltip_text_arb_jaffar_aura_will	Jaffar's natural gravitas coupled with his sorcerous might produce an oppressive aura of dread and authority around him that none under his command can resist.	false
unit_abilities_onscreen_name_ovn_lore_passive_blessing_of_the_elements	Blessing of the Elements	true
unit_abilities_tooltip_text_ovn_lore_passive_blessing_of_the_elements	The caster calls on the elements of the desert and draws upon the fortune they can bestow.	true
unit_abilities_onscreen_name_ovn_spell_desert_burning_hands	Burning Hand	true
unit_abilities_onscreen_name_ovn_spell_desert_burning_hands_upgraded	Burning Hand Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_curse_of_the_djinn	Curse of the Djinn	true
unit_abilities_onscreen_name_ovn_spell_desert_curse_of_the_djinn_upgraded	Curse of the Djinn Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_mirage	Mirage	true
unit_abilities_onscreen_name_ovn_spell_desert_mirage_upgraded	Mirage Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_quicksand	Quicksand	true
unit_abilities_onscreen_name_ovn_spell_desert_quicksand_upgraded	Quicksand Upgraded	true
unit_abilities_onscreen_name_ovn_spell_desert_sandstorm	Sandstorm	true
