unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/ovn_araby_only_units_skill_upgrade					
			ovn_arb_art_ballista	ovn_arb_ranged_nongunpowder	false
			ovn_arb_art_ballista	ovn_arb_settled_rank7	false
			ovn_arb_art_grand_bombard	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_art_grand_bombard	ovn_arb_settled_rank7	false
			ovn_arb_art_grand_bombard_ror	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_art_grand_bombard_ror	ovn_arb_settled_rank7_ror	false
			ovn_arb_art_trebuchet	ovn_arb_ranged_nongunpowder	false
			ovn_arb_art_trebuchet	ovn_arb_settled_rank7	false
			ovn_arb_art_naphtha_thrower	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_art_naphtha_thrower	ovn_arb_settled_rank7	false
			ovn_arb_veh_naphtha_thrower_ror	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_veh_naphtha_thrower_ror	ovn_arb_settled_rank7_ror	false
			ovn_arb_cav_lancer_camels	ovn_arb_melee_cavalry	false
			ovn_arb_cav_lancer_camels	ovn_arb_settled_rank7	false
			ovn_arb_cav_lancer_camels_ror	ovn_arb_melee_cavalry	false
			ovn_arb_cav_lancer_camels_ror	ovn_arb_settled_rank7_ror	false
			ovn_arb_cav_archer_camels	ovn_arb_ranged_nongunpowder	false
			ovn_arb_cav_archer_camels	ovn_arb_nomads_rank7	false
			ovn_arb_cav_bedouin_scouts	ovn_arb_ranged_nongunpowder	false
			ovn_arb_cav_bedouin_scouts	ovn_arb_nomads_rank7	false
			ovn_arb_cav_jezzail_camels	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_cav_jezzail_camels	ovn_arb_nomads_rank7	false
			ovn_arb_cav_arabyan_knights	ovn_arb_melee_cavalry	false
			ovn_arb_cav_arabyan_knights	ovn_arb_nomads_rank7	false
			ovn_arb_cav_arabyan_knights_ror	ovn_arb_melee_cavalry	false
			ovn_arb_cav_arabyan_knights_ror	ovn_arb_nomads_rank7_ror	false
			ovn_arb_cav_sipahis	ovn_arb_melee_cavalry	false
			ovn_arb_cav_sipahis	ovn_arb_settled_rank7	false
			ovn_arb_cav_sipahis_ror	ovn_arb_melee_cavalry	false
			ovn_arb_cav_sipahis_ror	ovn_arb_settled_rank7_ror	false
			ovn_arb_cav_flying_carpets	ovn_arb_djinns	false
			ovn_arb_cav_flying_carpets	ovn_arb_magic_rank7	false
			ovn_arb_cav_flying_carpets_ror	ovn_arb_djinns	false
			ovn_arb_cav_flying_carpets_ror	ovn_arb_magic_rank7_ror	false
			ovn_arb_cav_scorpion_riders	ovn_arb_beasts	false
			ovn_arb_cav_scorpion_riders	ovn_arb_beasts_rank7	false
			ovn_arb_inf_arabyan_guard	ovn_arb_melee_infantry	false
			ovn_arb_inf_arabyan_guard	ovn_arb_settled_rank7	false
			ovn_arb_inf_arabyan_guard_ror	ovn_arb_melee_infantry	false
			ovn_arb_inf_arabyan_guard_ror	ovn_arb_settled_rank7_ror	false
			ovn_arb_inf_arabyan_ogres	ovn_arb_beasts	false
			ovn_arb_inf_arabyan_ogres	ovn_arb_beasts_rank7	false
			ovn_arb_inf_arabyan_spearmen	ovn_arb_melee_infantry	false
			ovn_arb_inf_arabyan_spearmen	ovn_arb_settled_rank7	false
			ovn_arb_inf_arabyan_warriors	ovn_arb_melee_infantry	false
			ovn_arb_inf_arabyan_warriors	ovn_arb_settled_rank7	false
			ovn_arb_inf_corsairs	ovn_arb_melee_infantry	false
			ovn_arb_inf_corsairs	ovn_arb_settled_rank7	false
			ovn_arb_inf_dervishers	ovn_arb_melee_infantry	false
			ovn_arb_inf_dervishers	ovn_arb_magic_rank7	false
			ovn_arb_inf_jaguar_champions	ovn_arb_melee_infantry	false
			ovn_arb_inf_jaguar_champions	ovn_arb_nomads_rank7	false
			ovn_arb_inf_jaguar_champions_ror	ovn_arb_melee_infantry	false
			ovn_arb_inf_jaguar_champions_ror	ovn_arb_nomads_rank7_ror	false
			ovn_arb_inf_pit_fighters	ovn_arb_melee_infantry	false
			ovn_arb_inf_pit_fighters	ovn_arb_settled_rank7	false
			ovn_arb_inf_sharkas_slaves	ovn_arb_melee_infantry	false
			ovn_arb_inf_sharkas_slaves	ovn_arb_settled_rank7	false
			ovn_arb_inf_southland_warriors	ovn_arb_melee_infantry	false
			ovn_arb_inf_southland_warriors	ovn_arb_nomads_rank7	false
			ovn_arb_mon_desert_spirit	ovn_arb_djinns	false
			ovn_arb_mon_desert_spirit	ovn_arb_magic_rank7	false
			ovn_arb_mon_desert_spirit_ror	ovn_arb_djinns	false
			ovn_arb_mon_desert_spirit_ror	ovn_arb_magic_rank7_ror	false
			ovn_arb_mon_desert_spirit_summoned	ovn_arb_djinns	false
			ovn_arb_mon_desert_spirit_summoned	ovn_arb_magic_rank7	false
			ovn_arb_mon_elephant	ovn_arb_beasts	false
			ovn_arb_mon_elephant	ovn_arb_beasts_rank7	false
			ovn_arb_mon_fire_efreet	ovn_arb_djinns	false
			ovn_arb_mon_fire_efreet	ovn_arb_magic_rank7	false
			ovn_arb_mon_fire_efreet_ror	ovn_arb_djinns	false
			ovn_arb_mon_fire_efreet_ror	ovn_arb_magic_rank7_ror	false
			ovn_arb_mon_fire_efreet_summoned	ovn_arb_djinns	false
			ovn_arb_mon_fire_efreet_summoned	ovn_arb_magic_rank7	false
			ovn_arb_mon_genie	ovn_arb_djinns	false
			ovn_arb_mon_genie	ovn_arb_magic_rank7	false
			ovn_arb_mon_genie_summoned	ovn_arb_djinns	false
			ovn_arb_mon_genie_summoned	ovn_arb_magic_rank7	false
			ovn_arb_mon_giant_scorpion	ovn_arb_beasts	false
			ovn_arb_mon_giant_scorpion	ovn_arb_beasts_rank7	false
			ovn_arb_mon_promethean_hatchlings	ovn_arb_beasts	false
			ovn_arb_mon_promethean_hatchlings	ovn_arb_beasts_rank7	false
			ovn_arb_mon_sea_nymph	ovn_arb_djinns	false
			ovn_arb_mon_sea_nymph	ovn_arb_magic_rank7	false
			ovn_arb_mon_sea_nymph_ror	ovn_arb_djinns	false
			ovn_arb_mon_sea_nymph_ror	ovn_arb_magic_rank7_ror	false
			ovn_arb_mon_sea_nymph_summoned	ovn_arb_djinns	false
			ovn_arb_mon_sea_nymph_summoned	ovn_arb_magic_rank7	false
			ovn_arb_mon_war_elephant	ovn_arb_beasts	false
			ovn_arb_mon_war_elephant	ovn_arb_beasts_rank7	false
			ovn_arb_mon_war_elephant_ror_2	ovn_arb_beasts	false
			ovn_arb_mon_war_elephant_ror_2	ovn_arb_beasts_rank7_ror	false
			ovn_arb_mon_war_elephant_ror_1	ovn_arb_beasts	false
			ovn_arb_mon_war_elephant_ror_1	ovn_arb_beasts_rank7_ror	false
			ovn_arb_inf_alrahem_nomads	ovn_arb_ranged_nongunpowder	false
			ovn_arb_inf_alrahem_nomads	ovn_arb_nomads_rank7	false
			ovn_arb_inf_arabyan_bowmen	ovn_arb_ranged_nongunpowder	false
			ovn_arb_inf_arabyan_bowmen	ovn_arb_settled_rank7	false
			ovn_arb_inf_jezzails	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_inf_jezzails	ovn_arb_nomads_rank7	false
			ovn_arb_inf_jezzails_ror	ovn_arb_ranged_gunpowder_naphtha	false
			ovn_arb_inf_jezzails_ror	ovn_arb_nomads_rank7_ror	false
			ovn_arb_mon_necrofex_colossus	ovn_arb_beasts	false
			ovn_arb_mon_necrofex_colossus	ovn_arb_beasts_rank7	false
			ovn_arb_mon_tempest_djinn	ovn_arb_djinns	false
			ovn_arb_mon_tempest_djinn	ovn_arb_magic_rank7	false
			ovn_arb_mon_tempest_djinn_ror	ovn_arb_djinns	false
			ovn_arb_mon_tempest_djinn_ror	ovn_arb_magic_rank7_ror	false
			ovn_arb_mon_tempest_djinn_summoned	ovn_arb_djinns	false
			ovn_arb_mon_tempest_djinn_summoned	ovn_arb_magic_rank7	false
			ovn_arb_mon_giant_vulture_feral	ovn_arb_beasts	false
			ovn_arb_mon_giant_vulture_feral	ovn_arb_beasts_rank7	false
			ovn_arb_cav_waghzen	ovn_arb_beasts	false
			ovn_arb_cav_waghzen	ovn_arb_beasts_rank7	false
			ovn_arb_mon_enchanted_rope	ovn_arb_djinns	false
			ovn_arb_mon_enchanted_rope	ovn_arb_magic_rank7	false
			ovn_arb_mon_enchanted_rope_summoned	ovn_arb_djinns	false
			ovn_arb_mon_enchanted_rope_summoned	ovn_arb_magic_rank7	false
