key	texture_filename_base	category
#warscape_animated_tables;2;db/warscape_animated_tables/ovn_araby_only		
arb_grand_bombard	warmachines\tex	animation
arb_grand_bombard_ror	warmachines\tex	animation
arb_djinn_carriage	warmachines\tex	animation
arb_trebuchet	warmachines\tex	animation
arb_ship	warmachines\tex	animation
ovn_arb_art_ballista	warmachines\tex	animation
arb_naphtha_thrower	warmachines\tex	animation
arb_naphtha_thrower_ror	warmachines\tex	animation
arb_quadballista	warmachines\tex	animation
arb_quadballista_destruct	warmachines\tex	animation
arb_quadballista_ror	warmachines\tex	animation
arb_quadballista_ror_destruct	warmachines\tex	animation
