member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ovn_cod_only		
ovn_cod_climate_chaotic	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_desert	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_frozen	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_island	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_jungle	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_magicforest	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_mountain	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_ocean	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_savannah	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_temperate	ACTOR	wh2_main_hef_citadel_of_dusk
ovn_cod_climate_wasteland	ACTOR	wh2_main_hef_citadel_of_dusk
diplomacy_Subcult_CoD_&_Negative	ACTOR	wh2_main_hef_citadel_of_dusk
diplomacy_Subcult_CoD_&_Positive	ACTOR	wh2_main_hef_citadel_of_dusk
diplomacy_Subcult_CoD	ACTOR	wh2_main_hef_citadel_of_dusk
