attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/ovn_cod_only	
non_vampire_territory	wh2_main_def_dark_elves_qb1
regionless	wh2_main_def_dark_elves_qb1
non_vampire_territory	wh2_main_lzd_lizardmen_qb1
regionless	wh2_main_lzd_lizardmen_qb1
vampire_territory	wh2_dlc11_cst_vampire_coast_qb1
regionless	wh2_dlc11_cst_vampire_coast_qb1
swamp	wh2_dlc11_cst_vampire_coast_qb1
non_vampire_territory	wh_main_nor_norsca_qb1
regionless	wh_main_nor_norsca_qb1
chaos_territory	wh_main_nor_norsca_qb1
non_vampire_territory	wh2_main_skv_skaven_qb1
regionless	wh2_main_skv_skaven_qb1
swamp	wh2_main_skv_skaven_qb1
non_vampire_territory	wh_main_grn_greenskins_qb1
regionless	wh_main_grn_greenskins_qb1
swamp	wh_main_grn_greenskins_qb1
non_vampire_territory	wh_main_chs_chaos_qb1
regionless	wh_main_chs_chaos_qb1
chaos_territory	wh_main_chs_chaos_qb1
