ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/ovn_cod_only	
wh2_main_unit_passive_martial_prowess	ovn_stormrider
wh_main_character_abilities_deadly_onslaught	ovn_stormrider
wh_main_character_abilities_foe_seeker	ovn_stormrider
wh_main_character_abilities_stand_your_ground	ovn_stormrider
wh2_main_unit_passive_martial_prowess	ovn_stormrider_mount
wh_main_character_abilities_deadly_onslaught	ovn_stormrider_mount
wh_main_character_abilities_foe_seeker	ovn_stormrider_mount
wh_main_character_abilities_stand_your_ground	ovn_stormrider_mount
wh_main_mount_passive_bloodroar	ovn_stormrider_mount
wh2_main_unit_passive_martial_prowess	ovn_cr_hef_veh_lothern_skycutter
wh2_main_unit_passive_martial_prowess	ovn_cr_hef_veh_lothern_skycutter_ror
ovn_cr_unit_abilities_emulation_of_kalagan	ovn_cr_hef_veh_lothern_skycutter_ror
