chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_fimir_buildings			
ovn_fimir_settlement_major	wh3_main_primary_core_generic_major		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_altdorf		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_black_crag		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_castle_drakenhof		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_couronne		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_eight_peaks		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_elven_colony		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_gaean_vale		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_galleons_graveyard		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_hellpit		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_hexoatl		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_itza		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_karaz_a_karak		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_khemri		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_kislev		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_lahmia		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_lothern		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_massif_orcal		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_miragliano		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_naggarond		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_norsca		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_pyramid_of_nagash		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_sartosa		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_skavenblight		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_the_awakening		false
ovn_fimir_settlement_major	wh3_main_primary_core_special_major_tor_yvresse		false
ovn_fimir_settlement_minor	wh3_main_primary_core_generic_minor		false
ovn_fimir_settlement_minor	wh3_main_primary_core_special_major_forest		false
ovn_fimir_settlement_minor	wh3_main_primary_core_special_minor_norsca		false
ovn_fimir_infantry	wh3_main_secondary_core_generic_minor		false
ovn_fimir_marsh	wh3_main_secondary_core_generic_minor		false
ovn_fimir_cavalry	wh3_main_secondary_core_generic_minor		false
ovn_fimir_fianna	wh3_main_secondary_core_generic_minor		false
ovn_fimir_dirach	wh3_main_secondary_core_generic_minor		false
ovn_fimir_daemons	wh3_main_secondary_core_generic_minor		false
ovn_fimir_growth	wh3_main_secondary_core_generic_minor		false
ovn_fimir_income	wh3_main_secondary_core_generic_minor		false
ovn_fimir_order	wh3_main_secondary_core_generic_minor		false
ovn_fimir_port	wh3_main_port_core_generic		false
ovn_fimir_walls_major	wh3_main_secondary_addon_garrison_major		false
ovn_fimir_walls_major	wh3_main_secondary_core_generic_major_defence		false
ovn_fimir_walls_major	wh3_main_secondary_core_generic_major_variant_ksl_city		false
ovn_fimir_walls_minor	wh3_main_secondary_addon_garrison_minor		false
ovn_fimir_allied_outpost	wh3_main_foreign_slot_allied		false
ovn_fimir_foreign_slot_discovery	wh3_main_secondary_core_generic_minor		false
ovn_fimir_agrul_migdhal_landmark	wh3_main_secondary_core_generic_minor		false
