from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_fimir_buildings	
ovn_fimir_settlement_major_1	ovn_fimir_settlement_major_2
ovn_fimir_settlement_major_2	ovn_fimir_settlement_major_3
ovn_fimir_settlement_major_3	ovn_fimir_settlement_major_4
ovn_fimir_settlement_major_4	ovn_fimir_settlement_major_5
ovn_fimir_settlement_major_ruin	ovn_fimir_settlement_major_1
ovn_fimir_settlement_minor_1	ovn_fimir_settlement_minor_2
ovn_fimir_settlement_minor_2	ovn_fimir_settlement_minor_3
ovn_fimir_settlement_minor_ruin	ovn_fimir_settlement_minor_1
ovn_fimir_infantry_1	ovn_fimir_infantry_2
ovn_fimir_infantry_2	ovn_fimir_infantry_3
ovn_fimir_marsh_1	ovn_fimir_marsh_2
ovn_fimir_cavalry_1	ovn_fimir_cavalry_2
ovn_fimir_fianna_1	ovn_fimir_fianna_2
ovn_fimir_fianna_2	ovn_fimir_fianna_3
ovn_fimir_dirach_1	ovn_fimir_dirach_2
ovn_fimir_dirach_2	ovn_fimir_dirach_3
ovn_fimir_daemons_1	ovn_fimir_daemons_2
ovn_fimir_growth_1	ovn_fimir_growth_2
ovn_fimir_growth_2	ovn_fimir_growth_3
ovn_fimir_income_1	ovn_fimir_income_2
ovn_fimir_income_2	ovn_fimir_income_3
ovn_fimir_order_1	ovn_fimir_order_2
ovn_fimir_order_2	ovn_fimir_order_3
ovn_fimir_port_1	ovn_fimir_port_2
ovn_fimir_port_2	ovn_fimir_port_3
ovn_fimir_port_ruin	ovn_fimir_port_1
ovn_fimir_walls_major_1	ovn_fimir_walls_major_2
ovn_fimir_walls_major_2	ovn_fimir_walls_major_3
ovn_fimir_walls_minor_1	ovn_fimir_walls_minor_2
ovn_fimir_allied_outpost_1	ovn_fimir_allied_outpost_2
ovn_fimir_allied_outpost_2	ovn_fimir_allied_outpost_3
ovn_fimir_foreign_slot_discovery_1	ovn_fimir_foreign_slot_discovery_2
ovn_fimir_foreign_slot_discovery_2	ovn_fimir_foreign_slot_discovery_3
ovn_fimir_corruption_1	ovn_fimir_corruption_2
ovn_fimir_corruption_2	ovn_fimir_corruption_3
