member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/ovn_fimir		
wh_captive_option_enslave_fimir	ORIGINATOR	ovn_fimir
wh_captive_option_kill_fimir	ORIGINATOR	ovn_fimir
wh_captive_option_release_fimir	ORIGINATOR	ovn_fimir
ovn_even_feed_cult_fimir	ACTOR	ovn_fimir
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_failure_critical_hinder_army_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_failure_critical_hinder_character_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_failure_critical_hinder_province_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_failure_hinder_army_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_failure_hinder_character_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_failure_hinder_province_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_hinder_character_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_all_success_critical_hinder_character_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_champion_hinder_army_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_champion_hinder_settlement_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_champion_hinder_settlement_plague_priest_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_dignitary_hinder_army_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_dignitary_hinder_settlement_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_engineer_hinder_settlement_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_hinder_settlement_gain_influence_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_spy_hinder_army_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_spy_hinder_settlement_fimir	ACTOR	ovn_fimir
wh_event_feed_agent_action_wizard_hinder_army_fimir	ACTOR	ovn_fimir
ovn_fimir	ACTOR	ovn_fimir
