key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;5;db/character_skill_nodes_tables/ovn_meargh_skattach										
fim_meargh_skattach_ancillary_01		fim_meargh_skattach_anc_staff_balor	wh_main_skill_node_fim_meargh_skattach		0.0000	0.0000		0	0	true
fim_meargh_skattach_ancillary_02		fim_meargh_skattach_anc_hellmother_crown	wh_main_skill_node_fim_meargh_skattach		0.0000	1.0000		0	0	true
fim_meargh_skattach_mount		fim_meargh_skattach_anc_throne_hellmother	wh_main_skill_node_fim_meargh_skattach		0.0000	2.0000		0	0	true
fim_meargh_skattach_unique_01		wh_dlc08_skill_nor_lords_unique_aura_of_chaos	wh_main_skill_node_fim_meargh_skattach		0.0000	3.0000		0	0	true
fim_meargh_skattach_unique_02		wh_dlc08_skill_nor_wizards_unique_ritualistic_fury	wh_main_skill_node_fim_meargh_skattach		0.0000	4.0000		0	0	true
fim_meargh_skattach_unique_03		wh_dlc08_skill_nor_fimir_balefiend_unique_might_of_the_swamp	wh_main_skill_node_fim_meargh_skattach		0.0000	5.0000		0	0	true
fim_meargh_skattach_unique_04		wh_dlc08_skill_nor_fimir_balefiend_unique_miasma_of_despair	wh_main_skill_node_fim_meargh_skattach		0.0000	6.0000		0	0	true
fim_meargh_skattach_unique_05		wh_dlc08_skill_nor_fimir_balefiend_unique_eye_of_the_balefiend	wh_main_skill_node_fim_meargh_skattach		0.0000	7.0000		0	0	true
fim_meargh_skattach_from_mists		elo_fimir_from_mists	wh_main_skill_node_fim_meargh_skattach		0.0000	8.0000		0	0	true
fim_meargh_skattach_unique_0		fim_meargh_skattach_ancient_leadership	wh_main_skill_node_fim_meargh_skattach		1.0000	0.0000		0	0	true
fim_meargh_skattach_unique_1_1		fim_meargh_skattach_death_quest	wh_main_skill_node_fim_meargh_skattach		1.0000	1.0000		0	0	true
fim_meargh_skattach_unique_1_2		fim_meargh_skattach_poison_mist	wh_main_skill_node_fim_meargh_skattach		1.0000	2.0000		0	0	true
fim_meargh_skattach_unique_1_3		fim_meargh_skattach_maddened_mother	wh_main_skill_node_fim_meargh_skattach		1.0000	3.0000		0	0	true
fim_meargh_skattach_unique_1_4		fim_meargh_skattach_witch_queen	wh_main_skill_node_fim_meargh_skattach		1.0000	4.0000		0	0	true
fim_meargh_skattach_unique_1_5		fim_skattach_summon_swampdaemons	wh_main_skill_node_fim_meargh_skattach		1.0000	5.0000		0	3	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_01		wh3_main_skill_tze_magic_tzeentch_01_blue_fire_of_tzeentch	wh_main_skill_node_fim_meargh_skattach		2.0000	0.0000		1	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_02		wh2_main_skill_magic_dark_power_of_darkness_lord	wh_main_skill_node_fim_meargh_skattach		2.0000	1.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_03		wh3_main_skill_sla_magic_slaanesh_04_hysterical_frenzy	wh_main_skill_node_fim_meargh_skattach		2.0000	2.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_04		wh2_main_skill_magic_dark_bladewind_lord	wh_main_skill_node_fim_meargh_skattach		2.0000	3.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_05		wh2_main_skill_magic_dark_lore_attribute	wh_main_skill_node_fim_meargh_skattach		2.0000	4.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_06		wh_main_skill_all_magic_all_06_evasion	wh_main_skill_node_fim_meargh_skattach		2.0000	5.0000		0	4	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_09		wh3_main_skill_nur_magic_nurgle_02_stream_of_corruption	wh_main_skill_node_fim_meargh_skattach		2.0000	6.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_10		wh3_main_skill_tze_magic_tzeentch_02_pink_fire_of_tzeentch	wh_main_skill_node_fim_meargh_skattach		2.0000	7.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_07		wh_main_skill_all_magic_all_07_earthing	wh_main_skill_node_fim_meargh_skattach		2.0000	8.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_08		wh_main_skill_all_magic_all_08_power_drain	wh_main_skill_node_fim_meargh_skattach		2.0000	9.0000		0	0	true
wh_main_skill_node_fim_meargh_skattach_death_magic1_11		wh_main_skill_all_magic_all_11_arcane_conduit	wh_main_skill_node_fim_meargh_skattach		2.0000	10.0000		0	4	true
fim_meargh_skattach_battle_01		wh_main_skill_chs_lord_battle_dominating_presence	wh_main_skill_node_fim_meargh_skattach		4.0000	0.0000		0	0	true
fim_meargh_skattach_battle_02		fimir_sacrifices	wh_main_skill_node_fim_meargh_skattach		4.0000	1.0000		0	0	true
fim_meargh_skattach_battle_03		fimir_riders_doggos	wh_main_skill_node_fim_meargh_skattach		4.0000	2.0000		0	0	true
fim_meargh_skattach_battle_04		fimir_swamp_warriors	wh_main_skill_node_fim_meargh_skattach		4.0000	3.0000		0	0	true
fim_meargh_skattach_battle_05		fimir_bog_monsters	wh_main_skill_node_fim_meargh_skattach		4.0000	4.0000		0	0	true
fim_meargh_skattach_battle_06		fimir_ranged_units	wh_main_skill_node_fim_meargh_skattach		4.0000	5.0000		0	0	true
fim_meargh_skattach_battle_07		fimir_fen_giants	wh_main_skill_node_fim_meargh_skattach		4.0000	6.0000		0	6	true
fim_meargh_skattach_battle_08		wh_main_skill_all_lord_battle_rally	wh_main_skill_node_fim_meargh_skattach		4.0000	7.0000		0	0	true
fim_meargh_skattach_battle_09		fimir_r7_warriors	wh_main_skill_node_fim_meargh_skattach		4.0000	8.0000		0	0	true
fim_meargh_skattach_battle_10		fimir_r7_elite_monsters	wh_main_skill_node_fim_meargh_skattach		4.0000	9.0000		0	0	true
fim_meargh_skattach_battle_11		fimir_r7_fast_beasts	wh_main_skill_node_fim_meargh_skattach		4.0000	10.0000		0	0	true
fim_meargh_skattach_battle_12		fimir_r7_elite_giants	wh_main_skill_node_fim_meargh_skattach		4.0000	11.0000		0	1	true
fim_meargh_skattach_battle_13		wh_main_skill_chs_lord_battle_stand_or_die	wh_main_skill_node_fim_meargh_skattach		4.0000	12.0000		0	1	true
fim_meargh_skattach_campaign_01		wh_main_skill_all_lord_campaign_route_marcher	wh_main_skill_node_fim_meargh_skattach		5.0000	0.0000		0	0	true
fim_meargh_skattach_campaign_02		wh2_main_skill_def_campaign_dreaded_slaver	wh_main_skill_node_fim_meargh_skattach		5.0000	1.0000		0	0	true
fim_meargh_skattach_campaign_03		wh_main_skill_chs_lord_campaign_serve_or_die	wh_main_skill_node_fim_meargh_skattach		5.0000	2.0000		0	0	true
fim_meargh_skattach_campaign_04		wh_dlc08_skill_nor_lords_campaign_norse_resilience	wh_main_skill_node_fim_meargh_skattach		5.0000	3.0000		0	0	true
fim_meargh_skattach_campaign_05		wh3_dlc20_skill_chs_lord_campaign_devoted_of_chaos	wh_main_skill_node_fim_meargh_skattach		5.0000	4.0000		0	4	true
fim_meargh_skattach_campaign_06		wh_main_skill_all_lord_campaign_lightning_strike	wh_main_skill_node_fim_meargh_skattach		5.0000	5.0000		0	4	true
fim_meargh_skattach_campaign_07		wh_dlc08_skill_nor_throgg_campaign_masters_of_the_fen	wh_main_skill_node_fim_meargh_skattach		5.0000	6.0000		0	0	true
fim_meargh_skattach_campaign_08		wh_main_skill_vmp_lord_campaign_ancient_cunning	wh_main_skill_node_fim_meargh_skattach		5.0000	7.0000		0	0	true
fim_meargh_skattach_campaign_09		wh_dlc08_skill_nor_lords_campaign_unnatural_healing	wh_main_skill_node_fim_meargh_skattach		5.0000	8.0000		0	0	true
fim_meargh_skattach_campaign_10		wh3_dlc20_skill_all_lord_campaign_premonition	wh_main_skill_node_fim_meargh_skattach		5.0000	9.0000		0	0	true
fim_meargh_skattach_campaign_11		wh_dlc08_skill_nor_lords_campaign_spawn_of_chaos	wh_main_skill_node_fim_meargh_skattach		5.0000	10.0000		0	4	true
fim_meargh_skattach_innate_01		fim_meargh_skattach_innate	wh_main_skill_node_fim_meargh_skattach		6.0000	0.0000		1	0	false
fim_meargh_skattach_mentor		wh3_main_skill_all_mentor_lord	wh_main_skill_node_fim_meargh_skattach		0.0000	11.0000		0	0	true
