chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_fimir_res			
ovn_fimir_resource_obsidian	wh3_main_secondary_addon_res_carved_obsidian		false
ovn_fimir_resource_dyes	wh3_main_secondary_addon_res_dyes		false
ovn_fimir_resource_exotic_animals	wh3_main_secondary_addon_res_exotic_animals		false
ovn_fimir_resource_furs	wh3_main_secondary_addon_res_furs		false
ovn_fimir_resource_gemstones	wh3_main_secondary_addon_res_gemstones		false
ovn_fimir_resource_ivory	wh3_main_secondary_addon_res_ivory		false
ovn_fimir_resource_pastures	wh3_main_secondary_addon_res_pastures		false
ovn_fimir_resource_salt	wh3_main_secondary_addon_res_salt		false
ovn_fimir_resource_spices	wh3_main_secondary_addon_res_spices		false
ovn_fimir_resource_wine	wh3_main_secondary_addon_res_wine		false
ovn_fimir_resource_marble	wh3_main_secondary_addon_res_marble		false
ovn_fimir_resource_timber	wh3_main_secondary_addon_res_timber		false
ovn_fimir_resource_gold	wh3_main_secondary_addon_res_gold		false
ovn_fimir_resource_iron	wh3_main_secondary_addon_res_iron		false
ovn_fimir_resource_pottery	wh3_main_secondary_addon_res_pottery		false
ovn_fimir_resource_medicine	wh3_main_secondary_addon_res_medicinal_plants		false
