member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/ovn_fimir	
ovn_fimir_rancor_hold_climate_chaotic	climate_chaotic
ovn_fimir_rancor_hold_climate_desert	climate_desert
ovn_fimir_rancor_hold_climate_frozen	climate_frozen
ovn_fimir_rancor_hold_climate_island	climate_island
ovn_fimir_rancor_hold_climate_jungle	climate_jungle
ovn_fimir_rancor_hold_climate_magicforest	climate_magicforest
ovn_fimir_rancor_hold_climate_mountain	climate_mountain
ovn_fimir_rancor_hold_climate_ocean	climate_ocean
ovn_fimir_rancor_hold_climate_savannah	climate_savannah
ovn_fimir_rancor_hold_climate_temperate	climate_temperate
ovn_fimir_rancor_hold_climate_wasteland	climate_wasteland
ovn_fimir_tendrils_of_doom_climate_chaotic	climate_chaotic
ovn_fimir_tendrils_of_doom_climate_desert	climate_desert
ovn_fimir_tendrils_of_doom_climate_frozen	climate_frozen
ovn_fimir_tendrils_of_doom_climate_island	climate_island
ovn_fimir_tendrils_of_doom_climate_jungle	climate_jungle
ovn_fimir_tendrils_of_doom_climate_magicforest	climate_magicforest
ovn_fimir_tendrils_of_doom_climate_mountain	climate_mountain
ovn_fimir_tendrils_of_doom_climate_ocean	climate_ocean
ovn_fimir_tendrils_of_doom_climate_savannah	climate_savannah
ovn_fimir_tendrils_of_doom_climate_temperate	climate_temperate
ovn_fimir_tendrils_of_doom_climate_wasteland	climate_wasteland
