member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/ovn_fimir		
ovn_fimir_occupation_decision_treasure_hunt	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_colonise	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_do_nothing	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_loot	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_raze_without_occupy	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_resettle	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_sack	ACTOR	ovn_sc_fim_fimir
ovn_fimir_occupation_decision_occupy	ACTOR	ovn_sc_fim_fimir
wh_occupation_decision_bretonnia_raze_fimir	ACTOR	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_fimir	REGION_OWNER	ovn_sc_fim_fimir
wh_occupation_decision_bretonnia_sack_fimir	ACTOR	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_fimir	REGION_OWNER	ovn_sc_fim_fimir
