id	culture	faction	remove	set	subculture
#faction_set_items_tables;1;db/faction_set_items_tables/ovn_fimir					
632635257			false	FavouredCorruptionUndivided	ovn_sc_fim_fimir
632635258	ovn_fimir		false	anc_set_multi_norsca_chaos	
632635259	ovn_fimir		false	ovn_fimir	
632635260	ovn_fimir		false	beastmen_diplomacy_permitted	
632635261			false	slaanesh_seducible_factions	ovn_sc_fim_fimir
632635262	ovn_fimir		false	anc_set_multi_beastmen_norsca_chaos	
632635263	ovn_fimir		false	anc_set_multi_beastmen_chaos	
632635264		ovn_fim_rancor_hold	true	slaanesh_seducible_factions	
632635265		ovn_fim_tendrils_of_doom	true	slaanesh_seducible_factions	
