key	text	tooltip
#Loc PackedFile;1;text/db/ovn_fimir_only_names.loc		
names_name_999982314	Meargh Skattach	true
names_name_999982350	Dirach	true
names_name_999982351		true
names_name_999982352	Shearl-Beater	true
names_name_999982353	Scorpion-Tailed	true
names_name_999982354	Women-Taker	true
names_name_999982355	the Cruel	true
names_name_999982356	Mace-Master	true
names_name_999982357	the Slave Master	true
names_name_999982358	the Devourer	true
names_name_999982359	Fimúl’s Chosen	true
names_name_999982360	Daemon-Seeker	true
names_name_999982361	the Frog	true
names_name_999982362	Morghast's Slave	true
names_name_999982363	the Wanderer	true
names_name_999982364	Daemon-Slave	true
names_name_999982365	the Mud	true
names_name_999982366	Gold-Cloak	true
names_name_999982367	Blood-Drinker	true
names_name_999982368	Skull-Splitter	true
names_name_999982369	Polybog	true
names_name_999982370	Toad-Licker	true
names_name_999982371	the Snake	true
names_name_999982372	the Scorpion	true
names_name_999982373	Evil-Eye	true
names_name_999982374	Puddle-Watcher	true
names_name_999982375	Swamp-Fiend	true
names_name_999982376	the Rot	true
names_name_999982377	the Lizard	true
names_name_999982378	Trudger	true
names_name_999982379	Marsh-Haunter	true
names_name_999982380	the Bog	true
names_name_999982381	Murdaich	true
names_name_999982382	Gobniu	true
names_name_999982383	Bryz	true
names_name_999982384	Skean	true
names_name_999982385	Prince Chulann	true
names_name_999982386	Warlord Froidach	true
names_name_999982387	Derghe	true
names_name_999982388	Gharnu	true
names_name_999982389	Tarbaz	true
names_name_999982390	Fomorach	true
names_name_999982391	Murghe	true
names_name_999982392	Nimhe	true
names_name_999982393	Lurghaz	true
names_name_999982394	Indaich	true
names_name_999982395	Elathann	true
names_name_999982396	Tethryz	true
names_name_999982397	Loscenn	true
names_name_999982398	Gobra	true
names_name_999982399	Bariu	true
names_name_999982400	Skuld	true
names_name_999982401	Zebul	true
names_name_999982402	Goizghal	true
names_name_999982403	Malgach	true
names_name_999982404	Darghean	true
names_name_999982405	Maghnu	true
names_name_999982406	Balshin	true
names_name_999982407	Conand	true
names_name_999982408	Juuurgesh	true
names_name_999982409	Heeeros	true
names_name_999982410	Fimmmra	true
names_name_999982411	Drusss	true
names_name_999982412	Draaagrult	true
names_name_999982413	Bogzul	true
names_name_999982414	Forkusss	true
names_name_999982415	Snakenn	true
names_name_999982416	Skorsssus	true
names_name_999982417	Slythhh	true
names_name_999982418	Skek	true
names_name_999982419	Scorghe	true
names_name_999982420	Qusessst	true
names_name_999982421	Mooorcaka	true
names_name_999982422	Kragaich	true
names_name_999982423	Huuujral	true
names_name_999982424	Hrakkk	true
names_name_999982425	Renosss	true
names_name_999982426	Skeghsokk	true
names_name_999982427	Dregggraa	true
names_name_999982428	Kooolyse	true
names_name_999982429	Ghiesssh	true
names_name_999982430	Jyjurrra	true
names_name_999982431	Milttton	true
names_name_999982432	Baaalfysh	true
names_name_999982433	Skekzach	true
names_name_999982434	Kragaaa	true
names_name_999982435	Affed	true
names_name_999982436	Arrod	true
names_name_999982437	Fantor	true
names_name_999982438	Gungol	true
names_name_999982439	Tinol	true
names_name_999982440	Murdaich	true
names_name_999982441	Gobniu	true
names_name_999982442	Bryz	true
names_name_999982443	Skean	true
names_name_999982444	Chulann	true
names_name_999982445	Froidach	true
names_name_999982446	Derghe	true
names_name_999982447	Gharnu	true
names_name_999982448	Tarbaz	true
names_name_999982449	Fomorach	true
names_name_999982450	Murghe	true
names_name_999982451	Nimhe	true
names_name_999982452	Lurghaz	true
names_name_999982453	Indaich	true
names_name_999982454	Elathann	true
names_name_999982455	Tethryz	true
names_name_999982456	Loscenn	true
names_name_999982457	Gobra	true
names_name_999982458	Bariu	true
names_name_999982459	Skuld	true
names_name_999982460	Zebul	true
names_name_999982461	Goizghal	true
names_name_999982462	Malgach	true
names_name_999982463	Darghean	true
names_name_999982464	Maghnu	true
names_name_999982465	Balshin	true
names_name_999982466	Conand	true
names_name_999982467	Juuurgesh	true
names_name_999982468	Heeeros	true
names_name_999982469	Fimmmra	true
names_name_999982470	Drusss	true
names_name_999982471	Draaagrult	true
names_name_999982472	Bogzul	true
names_name_999982473	Forkusss	true
names_name_999982474	Snakenn	true
names_name_999982475	Skorsssus	true
names_name_999982476	Slythhh	true
names_name_999982477	Skek	true
names_name_999982478	Scorghe	true
names_name_999982479	Qusessst	true
names_name_999982480	Mooorcaka	true
names_name_999982481	Kragaich	true
names_name_999982482	Huuujral	true
names_name_999982483	Hrakkk	true
names_name_999982484	Renosss	true
names_name_999982485	Skeghsokk	true
names_name_999982486	Dregggraa	true
names_name_999982487	Kooolyse	true
names_name_999982488	Ghiesssh	true
names_name_999982489	Jyjurrra	true
names_name_999982490	Milttton	true
names_name_999982491	Baaalfysh	true
names_name_999982492	Skekzach	true
names_name_999982493	Kragaaa	true
names_name_999982494	Affed	true
names_name_999982495	Arrod	true
names_name_999982496	Fantor	true
names_name_999982497	Gungol	true
names_name_999982498	Tinol	true
names_name_999982499	Kroll	true
