key	text	tooltip
#Loc PackedFile;1;text/db/ovn_fimir_prebattle_charges.loc		
effects_description_ovn_fimir_spell_mastery_1	Power from sacrifice	true
effects_description_ovn_fimir_spell_mastery_2	Power from sacrifice	true
effects_description_ovn_fimir_spell_mastery_3	Power from sacrifice	true
effects_description_ovn_fimir_spell_mastery_4	Power from sacrifice	true
effects_description_ovn_fimir_spell_mastery_5	Power from sacrifice	true
special_ability_phases_onscreen_name_ovn_fimir_spell_mastery_1	Power from sacrifice	true
special_ability_phases_onscreen_name_ovn_fimir_spell_mastery_2	Power from sacrifice	true
special_ability_phases_onscreen_name_ovn_fimir_spell_mastery_3	Power from sacrifice	true
special_ability_phases_onscreen_name_ovn_fimir_spell_mastery_4	Power from sacrifice	true
special_ability_phases_onscreen_name_ovn_fimir_spell_mastery_5	Power from sacrifice	true
unit_abilities_tooltip_text_ovn_fimir_spell_mastery_1	Fimir can empower their spells with sacrifices to the Dark Gods.	true
unit_abilities_onscreen_name_ovn_fimir_spell_mastery_1	Power from sacrifice	true
unit_abilities_tooltip_text_ovn_fimir_spell_mastery_2	Fimir can empower their spells with sacrifices to the Dark Gods.	true
unit_abilities_onscreen_name_ovn_fimir_spell_mastery_2	Power from sacrifice	true
unit_abilities_tooltip_text_ovn_fimir_spell_mastery_3	Fimir can empower their spells with sacrifices to the Dark Gods.	true
unit_abilities_onscreen_name_ovn_fimir_spell_mastery_3	Power from sacrifice	true
unit_abilities_tooltip_text_ovn_fimir_spell_mastery_4	Fimir can empower their spells with sacrifices to the Dark Gods.	true
unit_abilities_onscreen_name_ovn_fimir_spell_mastery_4	Power from sacrifice	true
unit_abilities_tooltip_text_ovn_fimir_spell_mastery_5	Fimir can empower their spells with sacrifices to the Dark Gods.	true
unit_abilities_onscreen_name_ovn_fimir_spell_mastery_5	Power from sacrifice	true
effect_bundles_localised_title_ovn_fimir_spell_mastery_1	Power from sacrifice	true
effect_bundles_localised_description_ovn_fimir_spell_mastery_1	Fimir can empower their spells with sacrifices to the Dark Gods.	true
effect_bundles_localised_title_ovn_fimir_spell_mastery_2	Power from sacrifice	true
effect_bundles_localised_description_ovn_fimir_spell_mastery_2	Fimir can empower their spells with sacrifices to the Dark Gods.	true
effect_bundles_localised_title_ovn_fimir_spell_mastery_3	Power from sacrifice	true
effect_bundles_localised_description_ovn_fimir_spell_mastery_3	Fimir can empower their spells with sacrifices to the Dark Gods.	true
effect_bundles_localised_title_ovn_fimir_spell_mastery_4	Power from sacrifice	true
effect_bundles_localised_description_ovn_fimir_spell_mastery_4	Fimir can empower their spells with sacrifices to the Dark Gods.	true
effect_bundles_localised_title_ovn_fimir_spell_mastery_5	Power from sacrifice	true
effect_bundles_localised_description_ovn_fimir_spell_mastery_5	Fimir can empower their spells with sacrifices to the Dark Gods.	true
