pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/ovn_fimir				
ovn_fimir_slaves_battles	ovn_fimir_slaves_battles	1	absolute	default
ovn_fimir_slaves_rites	ovn_fimir_growth_diktat	-400	absolute	default
ovn_fimir_slaves_rites	ovn_fimir_fog_diktat	-500	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t1_sacrifice_requirements	-500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t1_sacrifice_requirements	-1000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t1	-500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t1	500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t2_sacrifice_requirement	-750	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t2_sacrifice_requirement	-2500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t2	-750	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t2	750	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement_high	-1500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement_high	-7500	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement	-1500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement	-5000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t3	-1500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t3	1500	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t4_sacrifice_requirement	-2000	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t4_sacrifice_requirement	-15000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t4	-2000	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t4	2000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement_low	-2500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement_low	-20000	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement	-2500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement	-25000	absolute	secondary
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_t5	-2500	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices	ovn_fim_skattach_initiative_slaves_kho_t5	2500	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1	-50	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1	50	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_kho_upkeep_t2	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_upkeep_t2	-100	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_kho_upkeep_t2	100	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_kho_upkeep_t3	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_upkeep_t3	-150	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_kho_upkeep_t3	150	absolute	secondary
wh3_dlc20_chs_eotg_gifts	ovn_fim_skattach_initiative_slaves_kho_upkeep_t4	1	absolute	default
ovn_fimir_slaves_rites	ovn_fim_skattach_initiative_slaves_kho_upkeep_t4	-200	absolute	default
ovn_fim_skattach_slaves_spent_kho_sacrifices_upkeep	ovn_fim_skattach_initiative_slaves_kho_upkeep_t4	200	absolute	secondary
