key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/ovn_grudgebringers	
hu1_vannheim_75th_hr1_warhorse_sword_and_shield	humanoid01
flagellants_eusebio_the_bleak_banner	humanoid01
grudgebringer_infantry_banner_new	humanoid01
black_avangers_bannerman	humanoid01
hu1_empire_hr1_warhorse_sword_and_grenade_launcher_tank	humanoid01
galed_elf_archers_banner	humanoid01d
stephan_weiss_outlaw_pistoliers_banner	humanoid01
luther_flamenstrike_mount	humanoid01
hu1_black_grail_knights_hr1_warhorse_lance_sword_shield	humanoid01
helmgart_bowmen	humanoid01
hu1_stormsword_and_shield	humanoid01
luther_flamenstrike	humanoid01
grudgebringers_wagon	humanoid01
keelers_longbows_banner	humanoid01
hu1_4th_nuln_halberdiers_bannerman	humanoid01
morgan_bernhardt_mount	humanoid01
knights_of_the_realm_bertrand_le_grande_banner	humanoid01
urblab_rotgut_mercenary_ogres_banner	humanoid13
gaston	humanoid01b
wm_gyrobomber02	gyrobomber01
dieter_schaeffer_carroburg_greatswords_bannerman	humanoid01
outlaw_infantry_bannerman	humanoid01
hu1_carsson_guard_bannerman	humanoid01
hu1c_ragnar_wolves_hr1	humanoid01c
flagellants_eusebio_the_bleak_officer	humanoid01
elrod_wood_elf_glade_guards_banner	humanoid01d
hu1_wh3_kislev_hr1_warhorse_sword_and_banner	humanoid01e
vannheim_75th_banner	humanoid01
hu1c_ragnar_wolves_banner_officer_hr1	humanoid01c
ice_mage	humanoid01
outlaw_infantry	humanoid01
klaus	humanoid01
grudgebringer_crossbow_banner	humanoid01
grail_knights_tristan_de_la_tourtristan_de_la_tour_banner	humanoid01
gaston_mount	humanoid01b
hu1_grudgebringer_bannerman	humanoid01
hu1_grudgebringer_hr1_warhorse_sword_and_banner	humanoid01
morgan_bernhardt	humanoid01
helmgart_bowmen_banner	humanoid01
hu1_countess_guard_bannerman	humanoid01
hu1_empire_sword_and_pistol_tank	humanoid01
hr1_skeletal_steee	horse01
hu1_dlc14_hr1_warhorse_repanse_black_grail_2handed_sword	humanoid01
boris_von_raukov_4th_nuln_halberdiers_banner	humanoid01
countess_guard_bannerman	humanoid01
keelers_longbows	humanoid01
banner_of_wrath	humanoid01
ludwig_uberdorf_mechanical_steed	humanoid01
leitdorf_9th_crossbows_banner	humanoid01
emperors_hellblaster_volley_gun_banner	humanoid01
dieter_schaeffer_carroburg_greatswords_drammer	humanoid01
uter_blomkwist_imperial_mortar_banner	humanoid01
imperial_cannon_darius_flugenheim_banner	humanoid01
grudgebringer_cannon_banner	humanoid01
grudgebringer_infantry_musician	humanoid01
reiksguard_knights_todbringer_banner	humanoid01
