key	chance_to_replenish	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
#mercenary_unit_groups_tables;2;db/mercenary_unit_groups_tables/rhox_grudgebringer					
rhox_grudge_wh_main_emp_art_helstorm_rocket_battery	0.0000	10	wh_main_emp_art_helstorm_rocket_battery	false	0.0000
rhox_grudge_wh2_dlc13_emp_inf_huntsmen_0	0.0000	10	wh2_dlc13_emp_inf_huntsmen_0	false	0.0000
rhox_grudge_wh_main_emp_cav_reiksguard	0.0000	10	wh_main_emp_cav_reiksguard	false	0.0000
rhox_grudge_wh_main_dwf_inf_longbeards_1	0.0000	10	wh_main_dwf_inf_longbeards_1	false	0.0000
rhox_grudge_wh_main_dwf_art_organ_gun	0.0000	10	wh_main_dwf_art_organ_gun	false	0.0000
rhox_grudge_wh_main_dwf_inf_hammerers	0.0000	10	wh_main_dwf_inf_hammerers	false	0.0000
rhox_grudge_wh_main_dwf_inf_ironbreakers	0.0000	10	wh_main_dwf_inf_ironbreakers	false	0.0000
rhox_grudge_wh_main_dwf_veh_gyrocopter_0	0.0000	10	wh_main_dwf_veh_gyrocopter_0	false	0.0000
rhox_grudge_wh_dlc05_wef_inf_waywatchers_0	0.0000	10	wh_dlc05_wef_inf_waywatchers_0	false	0.0000
rhox_grudge_wh_dlc05_wef_mon_treekin_0	0.0000	10	wh_dlc05_wef_mon_treekin_0	false	0.0000
rhox_grudge_wh2_dlc16_wef_inf_bladesingers_0	0.0000	10	wh2_dlc16_wef_inf_bladesingers_0	false	0.0000
rhox_grudge_wh_main_brt_cav_grail_knights	0.0000	10	wh_main_brt_cav_grail_knights	false	0.0000
rhox_grudge_wh_main_brt_cav_knights_of_the_realm	0.0000	10	wh_main_brt_cav_knights_of_the_realm	false	0.0000
rhox_grudge_wh_dlc07_brt_inf_battle_pilgrims_0	0.0000	10	wh_dlc07_brt_inf_battle_pilgrims_0	false	0.0000
rhox_grudge_wh2_dlc10_hef_inf_sisters_of_avelorn_0	0.0000	10	wh2_dlc10_hef_inf_sisters_of_avelorn_0	false	0.0000
rhox_grudge_wh2_main_hef_cav_dragon_princes	0.0000	10	wh2_main_hef_cav_dragon_princes	false	0.0000
rhox_grudge_wh2_main_hef_inf_phoenix_guard	0.0000	10	wh2_main_hef_inf_phoenix_guard	false	0.0000
rhox_grudge_wh2_main_hef_inf_swordmasters_of_hoeth_0	0.0000	10	wh2_main_hef_inf_swordmasters_of_hoeth_0	false	0.0000
rhox_grudge_wh3_main_ksl_inf_tzar_guard_0	0.0000	10	wh3_main_ksl_inf_tzar_guard_0	false	0.0000
rhox_grudge_wh3_main_ksl_cav_gryphon_legion_0	0.0000	10	wh3_main_ksl_cav_gryphon_legion_0	false	0.0000
rhox_grudge_wh3_main_ksl_cav_war_bear_riders_1	0.0000	10	wh3_main_ksl_cav_war_bear_riders_1	false	0.0000
rhox_grudge_wh3_main_cth_art_fire_rain_rocket_battery_0	0.0000	10	wh3_main_cth_art_fire_rain_rocket_battery_0	false	0.0000
rhox_grudge_wh3_main_cth_inf_dragon_guard_0	0.0000	10	wh3_main_cth_inf_dragon_guard_0	false	0.0000
rhox_grudge_wh3_main_cth_inf_dragon_guard_crossbowmen_0	0.0000	10	wh3_main_cth_inf_dragon_guard_crossbowmen_0	false	0.0000
rhox_grudge_wh_main_emp_art_helblaster_volley_gun	0.0000	10	wh_main_emp_art_helblaster_volley_gun	false	0.0000
rhox_grudge_teb_pikemen	0.0000	10	teb_pikemen	false	0.0000
rhox_grudge_teb_conqui_adventurers	0.0000	10	teb_conqui_adventurers	false	0.0000
rhox_grudge_teb_pavisiers	0.0000	10	teb_pavisiers	false	0.0000
rhox_grudge_teb_galloper	0.0000	10	teb_galloper	false	0.0000
rhox_grudge_teb_encarmine	0.0000	10	teb_encarmine	false	0.0000
rhox_grudge_wh3_main_ogr_inf_maneaters_0	0.0000	10	wh3_main_ogr_inf_maneaters_0	false	0.0000
rhox_grudge_wh3_main_ogr_cav_mournfang_cavalry_0	0.0000	10	wh3_main_ogr_cav_mournfang_cavalry_0	false	0.0000
rhox_grudge_wh_main_emp_inf_halberdiers	0.0000	10	wh_main_emp_inf_halberdiers	false	0.0000
rhox_grudge_wh_main_emp_cav_outriders_0	0.0000	10	wh_main_emp_cav_outriders_0	false	0.0000
rhox_grudge_wh3_main_ksl_inf_streltsi_0	0.0000	10	wh3_main_ksl_inf_streltsi_0	false	0.0000
rhox_grudge_wh3_main_ksl_inf_ice_guard_0	0.0000	10	wh3_main_ksl_inf_ice_guard_0	false	0.0000
rhox_grudge_hkrul_mar_riverwarden	0.0000	10	hkrul_mar_riverwarden	false	0.0000
rhox_grudge_hkrul_mar_knights_griffon	0.0000	10	hkrul_mar_knights_griffon	false	0.0000
rhox_grudge_hkrul_mar_sons_of_manann	0.0000	10	hkrul_mar_sons_of_manann	false	0.0000
rhox_grudge_snek_hkrul_mar_landship	0.0000	10	snek_hkrul_mar_landship	false	0.0000
rhox_grudge_albion_hearthguard_grudgebringer	0.0000	10	albion_hearthguard_grudgebringer	false	0.0000
rhox_grudge_albion_chariot_grudgebringer	0.0000	10	albion_chariot_grudgebringer	false	0.0000
rhox_grudge_albion_giant_grudgebringer	0.0000	10	albion_giant_grudgebringer	false	0.0000
rhox_grudge_albion_huntresses_grudgebringer	0.0000	10	albion_huntresses_grudgebringer	false	0.0000
