key	text	tooltip
#Loc;1;text/db/emp_camp_building_short_description_texts.loc		
building_short_description_texts_short_description_obo_emp_fieldcamp_main_1	A bivouac is a semi-permanent facility for the lodging of an army.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_main_2	Field camps are erected when a military force travels away from a major installation or fort during training or operations.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_main_3	When army grows, field camps often have the form of large campsites.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_main_4	Before an army could stop to rest for a day a military camp had to have been built.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_main_5	These encampments would take hours to set up, but would often mean the difference between surviving the night and a massacre. 	true
building_short_description_texts_short_description_obo_emp_fieldcamp_blacksmith_3	After years of weapon manufacturing master blacksmiths become artisans.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_field_artillery_1	Field artillery is a category of mobile artillery used to support armies in the field.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_field_artillery_2	Field artillery is a category of mobile artillery used to support armies in the field.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_field_artillery_3	Field artillery is a category of mobile artillery used to support armies in the field.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_field_hospital_1	Every army needs a field hospital to treat injuries and save lives of the wounded.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_field_hospital_2	Every army needs a field hospital to treat injuries and save lives of the wounded.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_field_hospital_3	Every army needs a field hospital to treat injuries and save lives of the wounded.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_supply_wagon_1	No army can exist without logistics and supplies provided by supply wagons.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_supply_wagon_2	No army can exist without logistics and supplies provided by supply wagons.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_supply_wagon_3	No army can exist without logistics and supplies provided by supply wagons.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_scouts_1	Army scouts play one of the most significant roles in the army.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_scouts_2	Army scouts play one of the most significant roles in the army.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_scouts_3	Army scouts play one of the most significant roles in the army.	true
building_short_description_texts_short_description_obo_emp_gold_income	The trophy seller ensures that the military treasury never empties.	true
building_short_description_texts_short_description_obo_emp_fieldcamp_looters	Skilled crew of looters always know where to find hidden belongings.	true
building_short_description_texts_short_description_obo_emp_special	The general headquaters.	true
building_short_description_texts_short_description_obo_emp_great_hospice_of_shallya	The grand marble halls of the Temple Hospice of Shallya in Altdorf resound to the sounds of the Empire like no other place. The temple has been a centre of Shallyan worship in the Empire for centuries.	true
