key	text	tooltip
#Loc;1;text/db/ovn_grudgebringers_only_character_skill_node_sets.loc		
character_skill_node_sets_enc_title_ovn_skill_node_set_morgan_bernhardt	Morgan Bernhardt Skills	true
character_skill_node_sets_enc_title_ovn_skill_node_set_vladimir_stormbringer	Vladimir Stormbringer Skills	true
character_skill_node_sets_enc_title_morgan_bernhardt	Morgan Bernhardt Skills	false
character_skill_node_sets_enc_title_ovn_grudge_skill_node_set_ksl_ice_mage_ice	Vladimir Stormbringer Skills	false
character_skill_node_sets_enc_title_ovn_grudge_skill_node_set_hef_ceridan	Ceridan Skills	false
character_skill_node_sets_enc_title_ovn_grudge_skill_node_set_dwf_envoy	Engrol Goldtongue Skills	false
character_skill_node_sets_enc_title_ovn_ludwig_uberdorf_skill_node	Ludwig von Uberdorf Skills	false
character_skill_node_sets_enc_title_matthias	Matthias Skills	false
character_skill_node_sets_enc_title_luther_flamenstrike	Luther Flamestrike Skills	false
character_skill_node_sets_enc_title_allor	Allor Skills	false
