key	text	tooltip
#Loc;1;text/db/rhox_grudgebringer_effect_bundle.loc		
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_1	Unlocks Regiment of Renown: Ragnar's Wolves	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_1	Unlocks Regiment of Renown: Ragnar's Wolves	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_2	Unlocks Regiment of Renown: Eusebio's Flagellants	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_2	Unlocks Regiment of Renown: Eusebio's Flagellants	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_3	Unlocks Regiment of Renown: Azguz Bloodfist's Dwarf Warriors	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_3	Unlocks Regiment of Renown: Azguz Bloodfist's Dwarf Warriors	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_4	Unlocks Regiment of Renown: Dargrimm Firebeard's Dwarf Warriors	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_4	Unlocks Regiment of Renown: Dargrimm Firebeard's Dwarf Warriors	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_5	Unlocks Regiment of Renown: Urblab Rotgut's Mercenary Ogres	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_5	Unlocks Regiment of Renown: Urblab Rotgut's Mercenary Ogres	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_6	Unlocks Regiment of Renown: Elrod's Wood Elf Glade Guards	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_6	Unlocks Regiment of Renown: Elrod's Wood Elf Glade Guards	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_7	Unlocks Regiment of Renown: Galed's Elf Archers	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_7	Unlocks Regiment of Renown: Galed's Elf Archers	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_8	Unlocks Regiment of Renown: Helmgart Bowmen	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_8	Unlocks Regiment of Renown: Helmgart Bowmen	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_9	Unlocks Regiment of Renown: Keeler's Longbows	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_9	Unlocks Regiment of Renown: Keeler's Longbows	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_10	Unlocks Regiment of Renown: Black Avengers	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_10	Unlocks Regiment of Renown: Black Avengers	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_11	Unlocks Regiment of Renown: Carlsson's Guard	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_11	Unlocks Regiment of Renown: Carlsson's Guard	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_12	Unlocks Regiment of Renown: Carlsson's Cavalry	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_12	Unlocks Regiment of Renown: Carlsson's Cavalry	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_13	Unlocks Regiment of Renown: Vannheim's 75th	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_13	Unlocks Regiment of Renown: Vannheim's 75th	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_14	Unlocks Regiment of Renown: Treeman Knarlroot	false
effect_bundles_localised_description_rhox_grudgebringer_piece_of_eight_14	Unlocks Regiment of Renown: Treeman Knarlroot	false
effect_bundles_localised_title_rhox_grudgebringer_piece_of_eight_15	Unlocks Regiment of Renown: Treeman Gnarl Fist	false
