unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/obo_grudgebringers_data					
			grudgebringer_cannon	emp_artillery	false
			grudgebringer_cannon	emp_greatcannon	false
			grudgebringer_cannon	all_land_artillery	false
			grudgebringer_cannon	artillery_units	false
			grudgebringer_cannon	ovn_core_grudgebringers	false
			grudgebringer_cavalry	cavalry_and_monsters_knights	false
			grudgebringer_cavalry	emp_knights	false
			grudgebringer_cavalry	emp_lances	false
			grudgebringer_cavalry	ovn_core_grudgebringers	false
			grudgebringer_crossbow	emp_crossbow	false
			grudgebringer_cavalry	emp_reiksguard	false
			grudgebringer_cavalry	wh2_main_emp_basic_empire_knight	false
			grudgebringer_crossbow	wh2_dlc11_emp_vets_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			grudgebringer_crossbow	wh2_dlc11_emp_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			grudgebringer_crossbow	emp_infantry	false
			grudgebringer_crossbow	emp_state_troops	false
			grudgebringer_crossbow	wh2_main_hef_moranions_wayshard	false
			grudgebringer_crossbow	wh2_dlc13_emp_huntsmen_archers	false
			grudgebringer_crossbow	ovn_core_grudgebringers	false
			grudgebringer_infantry	emp_infantry	false
			grudgebringer_infantry	infantry_units	false
			grudgebringer_infantry	infantry_units_melee	false
			grudgebringer_infantry	emp_melee_infantry_tier_1	false
			grudgebringer_infantry	emp_state_troops	false
			grudgebringer_infantry	emp_swords	false
			grudgebringer_infantry	ovn_core_grudgebringers	false
			helmgart_bowmen	emp_crossbow	false
			helmgart_bowmen	wh2_dlc11_emp_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			helmgart_bowmen	wh2_dlc13_emp_huntsmen_archers	false
			helmgart_bowmen	wh2_dlc11_emp_vets_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			helmgart_bowmen	emp_infantry	false
			helmgart_bowmen	emp_state_troops	false
			helmgart_bowmen	wh2_main_hef_moranions_wayshard	false
			keelers_longbows	emp_crossbow	false
			keelers_longbows	wh2_dlc11_emp_vets_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			keelers_longbows	wh2_dlc13_emp_huntsmen_archers	false
			keelers_longbows	wh2_dlc11_emp_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			keelers_longbows	emp_infantry	false
			keelers_longbows	emp_state_troops	false
			keelers_longbows	wh2_main_hef_moranions_wayshard	false
			urblab_rotgut_mercenary_ogres	cavalry_and_monsters_knights	false
			urblab_rotgut_mercenary_ogres	infantry_units	false
			urblab_rotgut_mercenary_ogres	infantry_units_melee	false
			urblab_rotgut_mercenary_ogres	emp_demigryphs	false
			urblab_rotgut_mercenary_ogres	emp_lances	false
			urblab_rotgut_mercenary_ogres	emp_steam_tank_and_demigryph_knights	false
			dargrimm_firebeard_dwarf_warriors	emp_infantry	false
			dargrimm_firebeard_dwarf_warriors	infantry_units	false
			dargrimm_firebeard_dwarf_warriors	infantry_units_melee	false
			dargrimm_firebeard_dwarf_warriors	emp_melee_infantry_tier_1	false
			dargrimm_firebeard_dwarf_warriors	emp_state_troops	false
			dargrimm_firebeard_dwarf_warriors	emp_swords	false
			morgan_bernhardt	cavalry_and_monsters_knights	false
			morgan_bernhardt	emp_knights	false
			morgan_bernhardt	emp_lances	false
			morgan_bernhardt	emp_melee_infantry_tier_2	false
			morgan_bernhardt	emp_reiksguard	false
			morgan_bernhardt	wh2_main_emp_basic_empire_knight	false
			grudgebringer_cavalry	emp_melee_infantry_tier_2	false
			treeman_knarlroot	cavalry_and_monsters_knights	false
			treeman_knarlroot	emp_demigryphs	false
			treeman_knarlroot	emp_lances	false
			treeman_knarlroot	emp_steam_tank_and_demigryph_knights	false
			galed_elf_archers	emp_crossbow	false
			galed_elf_archers	wh2_dlc13_emp_huntsmen_archers	false
			galed_elf_archers	wh2_dlc11_emp_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			galed_elf_archers	emp_infantry	false
			galed_elf_archers	emp_state_troops	false
			galed_elf_archers	wh2_dlc11_emp_vets_free_company_crossbowmen_huntsmen_archers_handgunners_pistoliers_outriders	false
			galed_elf_archers	wh2_main_hef_moranions_wayshard	false
			elrod_wood_elf_glade_guards	emp_infantry	false
			elrod_wood_elf_glade_guards	infantry_units	false
			elrod_wood_elf_glade_guards	infantry_units_melee	false
			elrod_wood_elf_glade_guards	emp_melee_infantry_tier_1	false
			elrod_wood_elf_glade_guards	emp_state_troops	false
			elrod_wood_elf_glade_guards	emp_swords	false
			ice_mage_vladimir_stormbringer	emp_characters	false
			ice_mage_vladimir_stormbringer	emp_wizards	false
			morgan_bernhardt	grudgebringers	false
			morgan_bernhardt	cavalry_units	false
			ice_mage_vladimir_stormbringer	grudgebringers	false
			black_avangers	emp_swords	false
			carlsson_cavalry	cavalry_and_monsters_knights	false
			carlsson_cavalry	emp_knights	false
			carlsson_cavalry	emp_lances	false
			carlsson_cavalry	emp_reiksguard	false
			carlsson_cavalry	cavalry_units	false
			carlsson_cavalry	wh2_main_emp_basic_empire_knight	false
			carlsson_guard	emp_infantry	false
			carlsson_guard	infantry_units	false
			carlsson_guard	infantry_units_melee	false
			carlsson_guard	emp_melee_infantry_tier_1	false
			countess_guard	emp_infantry	false
			carlsson_guard	emp_state_troops	false
			countess_guard	emp_melee_infantry_tier_1	false
			carlsson_guard	emp_swords	false
			countess_guard	emp_state_troops	false
