key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constant	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/ovn_halflings_only																																																								
ovn_hlf_swan	giant	1.6000	6.5000	6.0000	10.0000	9.5000	35.0000	35.0000	35.0000	1.0400	capsule	0.4500	650.0000	2.6000	360.0000	120.0000	8	true	true	0.0000	11.0000	15.0000	medium	1.0000	rotation_x	wh_dragon_small_wyvern	2.0000	infantry_light_effects	0	0	0.0000	false	1.0000	0.7500	3			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	0	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_mtl_reaper	horse	1.5000	7.8000	6.1000	7.0000	10.8000	35.0000	30.0000	25.0000	1.3000	capsule	0.9000	1300.0000	1.8000	360.0000	60.0000	8	true	true	2.8000	0.0000	0.0000	large	1.0000	rotation	wh_chariot_metal	3.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	4			0.5000	1.4500	35	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		true
ovn_mtl_reaper_articulation	chariot	1.5000	7.8000	6.1000	7.0000	10.8000	35.0000	30.0000	25.0000	1.8000	capsule	0.4500	1300.0000	1.8000	360.0000	60.0000	8	true	true	2.8000	0.0000	0.0000	large	1.0000	rotation	wh2_chariot_articulation	3.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	4			0.5000	1.4500	35	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_vehicle_chuckwagon	giant	1.5000	5.0000	3.0000	6.0000	9.0000	30.0000	25.0000	25.0000	2.7000	capsule	0.5000	1600.0000	5.3000	40.0000	60.0000	8	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation	wh_war_machine_luminark	3.0000	artillery_effects	0	0	0.0000	false	0.9000	0.8000	4		mtl_chuckwagon	0.5000	1.4500	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		true
ovn_vehicle_chuckwagon_articulation	chariot	1.5000	5.0000	4.0000	6.0000	9.0000	30.0000	25.0000	25.0000	3.4000	capsule	0.4500	1300.0000	5.3000	40.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_chariot_articulation_wood	3.0000	artillery_effects	0	0	0.0000	false	1.0000	0.7500	5		mtl_chuckwagon	0.5000	1.4500	0	true		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_mtl_mnt_warpony_draught	horse	1.5000	5.8000	4.0000	6.0000	9.0000	40.0000	35.0000	35.0000	1.5000	ellipse	0.5000	450.0000	1.5000	360.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation_x	wh_boar	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	5	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_mtl_cavalry_poultry_blood	horse	2.0000	8.0000	5.0000	6.0000	10.0000	40.0000	35.0000	35.0000	1.5000	ellipse	0.5000	450.0000	1.5000	360.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation_x	wh_dlc_wef_medium_bird_eagle	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	50	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
ovn_com_aragand_the_layabout	man	1.5000	2.3000	2.0000	3.0000	2.6000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	2.2000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	70	40	0.0000	true	1.0000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	1	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	70	large_entity	false	1.0000	1.0000	1.0000	1.0000		false
wh_main_vehicle_halftank	horse	2.2000	6.0000	4.5000	6.0000	8.6000	40.0000	35.0000	25.0000	4.0000	capsule	0.4200	3500.0000	3.0000	60.0000	60.0000	8	true	true	1.0000	0.0000	0.0000	large	1.0000	rotation_x	wh_war_machine_steamtank	0.0000	artillery_effects	0	0	0.0000	false	1.0000	0.8000	4			0.5000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		true
