building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/ovn_hlf_buildings																												
		ovn_hlf_welf_1	ovn_hlf_welf_3			cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	500
		ovn_half_barracks_1	ovn_half_barracks_3			cai_military_group					-1	-1	0	0	0	0	0	0	0	0	60	60	60	60	0	0	50	50
		ovn_half_forges_1	ovn_half_forges_1			cai_military_group					-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20
		ovn_half_tavern_1	ovn_half_tavern_3			cai_military_group					-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10
		ovn_half_dragon	ovn_half_dragon			cai_military_group					-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50
		ovn_Animal_Rearing_1	ovn_Animal_Rearing_2			cai_military_group					-1	-1	0	0	0	0	0	0	0	0	5	5	5	5	0	0	20	20
		ovn_half_smiths_1	ovn_half_smiths_2			cai_military_group					-1	-1	0	0	0	0	0	0	0	0	30	30	30	30	0	0	25	25
ovn_hlf_garrison						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
		ovn_hlf_foreign_slot_discovery_1	ovn_hlf_foreign_slot_discovery_1			cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	10	10
ovn_hlf_moot_cauldron						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	100	5000
ovn_hlf_resource_salt						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
ovn_hlf_farm_basic						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
ovn_hlf_worship						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
ovn_half_industry						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	5	250
		ovn_hlf_walls_1	ovn_hlf_walls_3			cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	50
