character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/ovn_halflings				
meat_Buff	wh_main_effect_economy_gdp_mod_all	1	character_to_province_own	10.0
meat_Buff	wh_main_effect_force_stat_leadership	1	general_to_force_own	4.0
meat_Buff	wh_main_effect_economy_gdp_mod_all	2	character_to_province_own	25.0
meat_Buff	wh_main_effect_force_stat_leadership	2	general_to_force_own	8.0
cig_Buff	wh_main_effect_economy_gdp_mod_all	1	character_to_province_own	12.0
cig_Buff	wh_main_effect_public_order_faction	1	character_to_province_own	1.0
hlf_Lord_Buff	wh_main_effect_agent_action_success_chance_enemy_skill	1	general_to_force_own	-25.0
hlf_Lord_Buff	wh_main_effect_economy_gdp_mod_all	1	faction_to_region_own	5.0
hlf_Lord_Buff	wh_main_faction_political_diplomacy_mod	1	faction_to_faction_own_unseen	4.0
cig_Buff	wh_main_effect_economy_gdp_mod_all	2	character_to_province_own	30.0
cig_Buff	wh_main_effect_public_order_faction	2	character_to_province_own	2.0
haffenlyver	wh_main_effect_force_stat_leadership_infantry	1	general_to_force_own	5.0
haffenlyver	wh_main_effect_force_stat_leadership	1	faction_to_force_own	5.0
trick_Buff	wh_main_effect_public_order_faction	1	faction_to_province_own	1.0
ovn_buff_halfling_welf	ovn_buff_halfling_welf	1	general_to_force_own	5.0
ovn_buff_halfling_welf	ovn_buff_halfling_welf	2	general_to_force_own	10.0
ovn_buff_halfling_welf	ovn_buff_halfling_welf	3	general_to_force_own	15.0
ovn_buff_soup_art	ovn_buff_soup_art	1	general_to_force_own	5.0
ovn_buff_soup_art	ovn_buff_soup_art	2	general_to_force_own	10.0
ovn_buff_soup_art	ovn_buff_soup_art	3	general_to_force_own	15.0
ovn_halfling_hlf_r7	ovn_halfling_hlf_r7_morale	1	general_to_force_own	10.0
ovn_halfling_ogre_r7	ovn_halfling_ogre_r7_morale	1	general_to_force_own	10.0
ovn_halfling_ogre_r7	ovn_halfling_ogre_r7_resistance_physical	1	general_to_force_own	10.0
