effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/ovn_hlf_buildings					
ovn_pooled_resource_mtl_seasong_buildings	icon_mtl_seasong.png	3	icon_mtl_seasong.png	campaign	true
ovn_grudge_diplo_bonus	diplomacy.png	5	diplomacy.png	campaign	true
tobacco_effect_produce_res_tobacco	res_tobacco.png	2	res_tobacco.png	campaign	true
wh_main_effect_agent_cap_increase_spy_fieldwarden	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_fieldwarden	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_cap_increase_fieldwarden_level	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_dignatary_master_chef	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_master_chef	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_cap_increase_master_chef_level	agent.png	3	agent.png	campaign	true
wh_main_effect_agent_cap_increase_champion_sheriff	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_enable_recruitment_sheriff	agent.png	2	agent.png	campaign	true
wh_main_effect_agent_cap_increase_sheriff_level	agent.png	3	agent.png	campaign	true
elo_hlf_militia_up	military_spending.png	100	military_spending.png	campaign	false
elo_hlf_militia_armour	armour.png	100	armour.png	battle	true
elo_hlf_militia_dmg	weapon_damage.png	100	weapon_damage.png	battle	true
elo_hlf_militia_xp	experience.png	100	experience.png	battle	true
elo_hlf_militia_dmg_ap	armour_piercing.png	100	armour_piercing.png	battle	true
elo_hlf_militia_mattk	melee.png	100	melee.png	battle	true
elo_hlf_reaper_cb	charge.png	100	charge.png	battle	true
elo_hlf_reaper_ai	bonus_vs_small.png	100	bonus_vs_small.png	battle	true
elo_hlf_doggo_speed	battle_movement.png	100	battle_movement.png	battle	true
elo_hlf_piggies_mdef	defence.png	100	defence.png	battle	true
elo_hlf_cocks_charge	charge.png	100	charge.png	battle	true
elo_hlf_cocks_mattk	melee.png	100	melee.png	battle	true
elo_hlf_cav_dmg	weapon_damage.png	100	weapon_damage.png	battle	true
enable_expandable_animals	attribute_expendable.png	100	attribute_expendable.png	battle	true
elo_all_hlf_morale	morale.png	100	morale.png	battle	true
elo_hlf_thieves_mattk	melee.png	100	melee.png	battle	true
enable_unspottable_thieves	attribute_stalk.png	100	attribute_stalk.png	battle	true
elo_hlf_warden_morale	morale.png	100	morale.png	battle	true
elo_hlf_warden_armour	armour.png	100	armour.png	battle	true
elo_hlf_warden_xp	experience.png	100	experience.png	battle	true
elo_hlf_militia_archer_range	accuracy.png	100	accuracy.png	battle	true
elo_hlf_rangers_dmg	ranged_damage.png	100	ranged_damage.png	battle	true
elo_hlf_archers_all_reload	icon_stat_reload_time_force.png	100	icon_stat_reload_time_force.png	battle	true
elo_hlf_trees_mdef	defence.png	100	defence.png	battle	true
elo_hlf_trees_mattk	melee.png	100	melee.png	battle	true
elo_hlf_trees_resist	resistance_ward_save.png	100	resistance_ward_save.png	battle	true
elo_hlf_monster_cost	treasury.png	100	treasury.png	campaign	false
elo_hlf_dragon_morale	morale.png	100	morale.png	battle	true
elo_hlf_dragon_xp	experience.png	100	experience.png	battle	true
elo_hlf_dragon_res	resistance_physical.png	100	resistance_physical.png	battle	true
elo_hlf_ogre_morale	morale.png	100	morale.png	battle	true
elo_hlf_ogre_xp	experience.png	100	experience.png	battle	true
elo_hlf_ogre_dmg	weapon_damage.png	100	weapon_damage.png	battle	true
elo_eagle_fatigue_res	vigour.png	100	vigour.png	battle	false
elo_hlf_monster_missile_res	resistance_missile.png	100	resistance_missile.png	battle	true
sheriff_taunt	general_ability.png	100	general_ability.png	battle	true
elo_sheriff_attk	melee_character.png	100	melee_character.png	battle	true
elo_sheriff_def	defence_character.png	100	defence_character.png	battle	true
elo_battle_cooks	general_ability.png	100	general_ability.png	battle	true
elo_hlf_cooks_vsL	bonus_vs_large.png	100	bonus_vs_large.png	battle	true
elo_hlf_artillery_ammo	ammo.png	100	ammo.png	battle	true
elo_hlf_artillery_dmg	ranged_damage.png	100	ranged_damage.png	battle	true
elo_hlf_emp_upkeep	military_spending.png	100	military_spending.png	campaign	false
elo_hlf_emp_rank	experience.png	100	experience.png	battle	true
elo_hlf_emp_morale	morale.png	100	morale.png	battle	true
elo_hlf_emp_armour	armour.png	100	armour.png	battle	true
elo_hlf_emp_dmg	weapon_damage.png	100	weapon_damage.png	battle	true
elo_hlf_emp_ranged_dmg	ranged_damage.png	100	ranged_damage.png	battle	true
supply_cart_loose	general_ability.png	100	general_ability.png	battle	true
elo_hlf_supply_speed	battle_movement.png	100	battle_movement.png	battle	true
elo_superfood	general_ability.png	100	general_ability.png	battle	true
ovn_force_stat_leadership_vs_greenskins_skaven	morale.png	411	morale.png	battle	true
ovn_character_stat_weapon_strength_vs_greenskins_skaven	weapon_damage_character.png	161	weapon_damage_character.png	battle	true
