key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	shrapnel	explosion_particle_effect	fuse_distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	camera_shake	detonation_force	fuse_fixed_time	affects_allies	is_spell
#projectiles_explosions_tables;19;db/projectiles_explosions_tables/ovn_halflings_only																				
reckless_taste	percussive	shockwave	7.0	1.5	1.0	120.0		wh_main_soup_projectile_splash	0.0				1.0	false	15.0	wh_main_unit_explosion_light	0.0	3.0	true	false
ovn_com_firework_rocket	fuse	shockwave	6.0	1.0	10.0	52.0	ovn_com_firework_rocket_shrapnel	wh_main_generic_spherical_explosion_large	55.0		wh_rocket		1.0	true	26.0	wh_main_unit_explosion_light	150.0	-1.0	true	false
ovn_com_firework_rocket_shrapnel	percussive	shockwave	6.0	1.0	10.0	52.0		wh_main_generic_spherical_explosion_small	-1.0		wh_rocket		1.0	true	26.0	wh_main_unit_explosion_light	150.0	1.0	true	false
ovn_com_firework_rocket_upgraded	fuse	shockwave	6.0	1.0	10.0	52.0	ovn_com_firework_rocket_upgraded_shrapnel	wh_main_generic_spherical_explosion_large	55.0		wh_rocket	wh2_dlc11_unit_contact_disrupted	1.0	true	26.0	wh_main_unit_explosion_light	150.0	-1.0	true	false
ovn_com_firework_rocket_upgraded_shrapnel	percussive	shockwave	6.0	1.0	10.0	52.0		wh_main_generic_spherical_explosion_small	-1.0		wh_rocket	wh2_dlc11_unit_contact_disrupted	1.0	true	26.0	wh_main_unit_explosion_light	150.0	1.0	true	false
wh_main_mtl_soup_projectile	percussive	shockwave	7.0	0.0	13.0	3.0		wh_main_soup_projectile_splash	0.0		wh2_dlc13_oil_flask	wh_main_unit_contact_souped	1.0	false	1.0	wh_main_unit_explosion_light	200.0	1.0	true	false
ovn_mtl_hotpot_ror_projectile	percussive	shockwave	7.0	0.0	13.0	3.0		ovn_mtl_hotpot_ror_projectile_splash	0.0		wh2_dlc13_oil_flask	wh_main_unit_contact_souped	1.0	false	1.0	wh_main_unit_explosion_light	200.0	1.0	true	false
ovn_baby_dragon_breath_explo	percussive	shockwave	5.0	0.0	11.0	20.0			0.0		wh2_dragon_breath_fire		1.0	false	10.0	wh_main_unit_explosion_medium	170.0	-1.0	true	false
ovn_hlf_mislead_miscast	percussive	shockwave	2.0	1.0	20.0	0.0			0.0			ovn_hlf_mislead	0.0	false	0.0		1.0	-1.0	true	false
ovn_hlf_bee_throwers	percussive	shockwave	3.0	0.0	13.0	21.0		belisarians_not_the_bees	0.0		wh2_vmp_tower_caged_bats_explosion	ovn_hlf_bee_throwers_contact	0.0	false	7.0	wh_main_unit_explosion_light	30.0	-1.0	true	false
cr_spell_moot_josiass_bodily_cleanse	percussive	shockwave	3.0	1.0	12.0	0.0		cr_moot_josiass_bodily_cleanse_impact	0.0		wh_generic_small		0.0	true	30.0	wh_main_unit_explosion_light	400.0	-1.0	true	false
cr_spell_moot_josiass_bodily_cleanse_upgraded	percussive	shockwave	3.0	1.0	12.0	0.0		cr_moot_josiass_bodily_cleanse_impact	0.0		wh_generic_small		0.0	true	30.0	wh_main_unit_explosion_light	400.0	-1.0	true	false
