key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost	required_parents	pixel_offset_x	pixel_offset_y
#technology_nodes_tables;0;db/technology_nodes_tables/ovn_hlf_buildings														
elo_halfling_training			5	elo_halfling_training	ovn_halflings_tech	1	1000	0	0			0	0	0
elo_halfling_housewifes			5	elo_halfling_housewifes	ovn_halflings_tech	2	1500	0	0			0	0	0
elo_halfling_chicken			5	elo_halfling_chicken	ovn_halflings_tech	3	1000	0	0			0	0	0
elo_halfling_cav			5	elo_halfling_cav	ovn_halflings_tech	4	1500	0	0			0	0	0
elo_halfling_warden			5	elo_halfling_warden	ovn_halflings_tech	5	1000	0	0			0	0	0
elo_halfling_warden_2			5	elo_halfling_warden_2	ovn_halflings_tech	6	1500	0	0			0	0	0
elo_halfling_feast_carrier			5	elo_halfling_feast_carrier	ovn_halflings_tech	7	1000	0	0			0	0	0
elo_halfling_chuck_wagons			5	elo_halfling_chuck_wagons	ovn_halflings_tech	8	1500	0	0			0	0	0
elo_halfling_empire_heroes			5	elo_halfling_empire_heroes	ovn_halflings_tech	9	1000	0	0			0	0	0
elo_halfling_empire_equipment			5	elo_halfling_empire_equipment	ovn_halflings_tech	10	1500	0	0			0	0	0
elo_halfling_farmer_tools			6	elo_halfling_farmer_tools	ovn_halflings_tech	1	800	0	0			0	0	0
elo_halfling_farmer_tools_2			6	elo_halfling_farmer_tools_2	ovn_halflings_tech	2	1000	0	0			0	0	0
elo_halfling_piggies			6	elo_halfling_piggies	ovn_halflings_tech	3	800	0	0			0	0	0
elo_halfling_riders			6	elo_halfling_riders	ovn_halflings_tech	4	1000	0	0			0	0	0
elo_halfling_thieves			6	elo_halfling_thieves	ovn_halflings_tech	5	800	0	0			0	0	0
elo_halfling_thieves_2			6	elo_halfling_thieves_2	ovn_halflings_tech	6	1000	0	0			0	0	0
elo_halfling_hot_pot			6	elo_halfling_hot_pot	ovn_halflings_tech	8	1000	0	0			0	0	0
elo_halfling_cooks_unit			6	elo_halfling_cooks_unit	ovn_halflings_tech	7	800	0	0			0	0	0
elo_halfling_empire_elite			6	elo_halfling_empire_elite	ovn_halflings_tech	9	800	0	0			0	0	0
elo_halfling_empire_mages			6	elo_halfling_empire_mages	ovn_halflings_tech	10	1000	0	0			0	0	0
elo_halfling_good_pots			7	elo_halfling_good_pots	ovn_halflings_tech	1	600	0	0			0	0	0
elo_halfling_doggos			7	elo_halfling_doggos	ovn_halflings_tech	3	600	0	0			0	0	0
elo_halfling_sheriff			7	elo_halfling_sheriff	ovn_halflings_tech	5	600	0	0			0	0	0
elo_halfling_hero_cooks			7	elo_halfling_hero_cooks	ovn_halflings_tech	7	600	0	0			0	0	0
elo_halfling_empire_support			7	elo_halfling_empire_support	ovn_halflings_tech	9	600	0	0			0	0	0
elo_halfling_conscription			9	elo_halfling_conscription	ovn_halflings_tech	1	300	0	0			0	0	0
elo_halfling_fields			9	elo_halfling_fields	ovn_halflings_tech	2	300	0	0			0	0	0
elo_halfling_animals			9	elo_halfling_animals	ovn_halflings_tech	3	300	0	0			0	0	0
elo_halfling_old_ones			9	elo_halfling_old_ones	ovn_halflings_tech	4	300	0	0			0	0	0
elo_halfling_security			9	elo_halfling_security	ovn_halflings_tech	5	300	0	0			0	0	0
elo_halfling_forest			9	elo_halfling_forest	ovn_halflings_tech	6	300	0	0			0	0	0
elo_halfling_cooking			9	elo_halfling_cooking	ovn_halflings_tech	7	300	0	0			0	0	0
elo_halfling_unlikely_allies			9	elo_halfling_unlikely_allies	ovn_halflings_tech	8	300	0	0			0	0	0
elo_halfling_rights_movement			9	elo_halfling_rights_movement	ovn_halflings_tech	9	300	0	0			0	0	0
elo_halfling_borrowing			11	elo_halfling_borrowing	ovn_halflings_tech	2	600	0	0			0	0	0
elo_halfling_worship			11	elo_halfling_worship	ovn_halflings_tech	4	600	0	0			0	0	0
elo_halfling_hunters			11	elo_halfling_hunters	ovn_halflings_tech	6	600	0	0			0	0	0
elo_halfling_eagles			11	elo_halfling_eagles	ovn_halflings_tech	8	600	0	0			0	0	0
elo_halfling_tobacco_1			12	elo_halfling_tobacco_1	ovn_halflings_tech	2	800	0	0			0	0	0
elo_halfling_tobacco_2			12	elo_halfling_tobacco_2	ovn_halflings_tech	3	1000	0	0			0	0	0
