key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constant	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/ovn_trolls_only																																																								
bile_trolls	giant	1.8	4.0	3.5	3.5	6.0	40.0	35.0	35.0	1.2	circle	1.0	1800.0	3.0	60.0	75.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	3.0	monstrous_infantry_effects	50	50	0.0	false	0.8	0.5	5			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	10	large_entity	false	1.0	1.0	1.0	1.0		false
elo_lava_trolls	giant	2.2	5.6	4.0	4.0	7.0	40.0	35.0	35.0	1.2	circle	1.0	1600.0	4.0	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	3.0	monstrous_infantry_effects	40	40	0.0	false	0.8	0.5	4			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
elo_sea_troll	giant	2.2	6.0	3.5	5.0	7.8	40.0	35.0	35.0	1.1	circle	1.0	1700.0	3.5	60.0	100.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	5.0	monstrous_infantry_effects	20	20	0.0	false	0.8	0.75	3			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	40	large_entity	false	1.0	1.0	1.0	1.0		false
elo_troll_giant	giant	2.6	4.8	4.0	4.0	6.0	35.0	30.0	30.0	2.4	circle	1.0	7500.0	10.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	wh_giant	6.0	giant_effects	40	40	0.0	false	0.8	0.5	5			0.3	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
forest_troll	giant	2.1	5.9	4.0	4.0	7.0	40.0	35.0	35.0	1.1	circle	1.0	1300.0	2.8	60.0	85.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	4.0	monstrous_infantry_effects	20	20	0.0	false	0.8	0.75	3			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	30	large_entity	false	1.0	1.0	1.0	1.0		false
mountain_troll	giant	2.0	4.8	3.5	3.5	6.8	40.0	35.0	35.0	1.2	circle	1.0	1600.0	4.0	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	3.0	monstrous_infantry_effects	30	40	0.0	false	0.8	0.5	4			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
river_troll	giant	2.0	4.5	4.0	4.0	6.8	40.0	35.0	35.0	1.2	circle	1.0	1400.0	3.0	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	3.0	monstrous_infantry_effects	20	20	0.0	false	0.8	0.75	3			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	30	large_entity	false	1.0	1.0	1.0	1.0		false
small_troll	giant	2.2	6.8	3.5	5.0	8.2	40.0	35.0	35.0	1.1	circle	1.0	1200.0	2.6	60.0	100.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	5.0	monstrous_infantry_effects	20	20	0.0	false	0.8	0.75	3			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	40	large_entity	false	1.0	1.0	1.0	1.0		false
snow_troll	giant	2.6	6.4	4.2	4.2	6.8	40.0	35.0	35.0	2.4	circle	1.0	3500.0	9.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	wh_troll	6.0	giant_effects	40	60	0.0	false	0.8	0.75	5			0.3	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	30	large_entity	false	1.0	1.0	1.0	1.0		false
