group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/ovn_trolls_only		
wh3_default_land_monsters	elo_lava_trolls	13
wh3_default_land_monsters	elo_armoured_icetrolls	20
wh3_default_land_monsters	elo_red_avalanche	45
wh3_default_land_monsters	elo_river_trolls	10
wh3_default_land_monsters	elo_mountain_trolls	20
wh3_default_land_monsters	elo_shipwreckers	40
wh3_default_land_characters	elo_cha_troll_lord	10
wh3_default_land_monsters	elo_kin	35
wh3_default_land_monsters	elo_forest_trolls	10
wh3_default_land_monsters	elo_bile_trolls	30
wh3_default_land_monsters	elo_snow_troll	35
wh3_default_land_monsters	elo_armoured_icetrolls_erengrad	20
wh3_default_land_monsters	elo_river_trolls_erengrad	18
wh3_default_land_monsters	elo_mountain_trolls_erengrad	15
wh3_default_land_monsters	elo_forest_trolls_erengrad	10
wh3_default_land_monsters	elo_snow_troll_erengrad	35
wh3_default_land_characters	elo_chief_ugma	10
wh3_default_land_monsters	elo_night_trolls_ror	55
wh3_default_land_melee_infantry	elo_carrion_gobbo_melee	4
wh3_default_land_ranged_infantry	elo_carrion_gobbo_bow	5
wh3_default_land_melee_cavalry	elo_carrion_squig_hoppers	8
wh3_default_land_monsters	elo_warpstone_trolls	30
wh3_default_land_ranged_infantry_main_heavy	ovn_trl_inf_stone_throw_troll	15
wh3_default_land_monsters	elo_sea_troll	16
wh3_default_land_characters	elo_troll_champ	10
wh3_default_land_monsters	elo_troll_giant	25
wh3_default_land_characters	elo_carrion_boss	10
wh3_default_land_characters	elo_carrion_boss_squig	15
wh3_default_land_monsters	ovn_troll_mon_wyvern	20
